playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,17.0,5.0,16.184313725490195,2.9,0.5,1.8,29%,0.4,1.3,31.8%,0.6,0.9,66.7%,0.2,1.0,1.2,1.9,0.5,2.2,0.1,0.4,3.1,1.5,0.0,009400,"CASARIN, DAVIDE",21,https://media-cdn.incrowdsports.com/f3615b58-07f0-46cb-91e2-b99be06fe4ad.png,VNC,URV,Umana Reyer Venice,https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png
2,13.0,2.0,8.99871794871795,1.2,0.2,0.3,50%,0.2,1.1,14.3%,0.5,0.6,75%,0.5,0.6,1.1,0.1,0.5,0.5,0.0,0.1,1.6,0.6,0.1,013310,"GREY, JARED",19,https://media-cdn.incrowdsports.com/f64fbc22-8e36-4ec0-b3d4-f63f7f620e05.png,HAM,HAM,Hamburg Towers,https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png
3,16.0,0.0,6.464583333333334,1.2,0.4,1.2,31.6%,0.0,0.1,0%,0.4,0.6,70%,0.4,0.6,0.9,0.3,0.2,0.3,0.1,0.0,1.2,0.6,0.7,004619,"AGVA, MAHIR",28,https://media-cdn.incrowdsports.com/60f01b3d-0670-4d21-8fd8-26d4fc140228.png,TTK,TTA,Turk Telekom Ankara,https://media-cdn.incrowdsports.com/4ba35608-54ca-4800-a59c-f2571e6f8e13.png
4,16.0,2.0,11.789583333333333,2.5,0.5,1.1,44.4%,0.4,1.9,23.3%,0.2,0.3,60%,0.4,0.9,1.3,0.9,0.5,1.2,0.1,0.1,1.4,0.5,1.0,010070,"MOELLER, LEIF",21,https://media-cdn.incrowdsports.com/cc559358-d061-409c-b9f4-3e1db0a54c2b.png,HAM,HAM,Hamburg Towers,https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png
5,14.0,2.0,9.498809523809523,2.1,0.4,1.0,35.7%,0.2,0.9,23.1%,0.7,1.4,52.6%,0.2,0.5,0.7,0.4,0.5,0.5,0.2,0.1,1.3,1.1,1.1,013281,"CORNELIUS, OR",28,https://media-cdn.incrowdsports.com/effbb81b-d746-49bb-a6e8-77f1b0220bb1.png,JER,JLM,Hapoel Jerusalem Basketball Club,https://media-cdn.incrowdsports.com/8058e0c5-3042-45e1-9423-f93f33c54576.png
6,17.0,1.0,8.486274509803922,2.9,0.7,1.4,50%,0.4,1.2,30%,0.5,0.5,100%,0.3,0.5,0.8,0.8,0.4,1.2,0.1,0.0,1.6,0.6,1.2,012415,"TUNCA, MELIH",19,https://media-cdn.incrowdsports.com/84131a4c-7cf1-4e32-858e-dd854de48c6d.png,TTK,TTA,Turk Telekom Ankara,https://media-cdn.incrowdsports.com/4ba35608-54ca-4800-a59c-f2571e6f8e13.png
7,16.0,6.0,14.786458333333334,2.2,0.4,0.8,50%,0.4,1.3,33.3%,0.1,0.1,100%,0.5,0.9,1.4,0.2,0.6,0.8,0.0,0.1,1.4,0.4,1.2,013356,"GKIOUZELIS, GEORGIOS",29,https://media-cdn.incrowdsports.com/737521ff-c0ef-4cfd-9f8a-2c2f432b3cea.png,ARI,ARI,Aris Thessaloniki,https://media-cdn.incrowdsports.com/dffbb68c-00b9-4a19-9e07-d98189caa409.png
8,16.0,2.0,7.396875,2.1,0.6,0.8,69.2%,0.2,0.8,33.3%,0.2,0.3,80%,0.2,0.7,0.9,0.6,0.1,0.9,0.1,0.1,0.8,0.2,1.5,007560,"KLJAJIC, JOVAN",23,https://media-cdn.incrowdsports.com/c3cb4c76-806e-4976-8dc7-a073e508510d.png,CAN,DGC,Club Baloncesto Gran Canaria,https://media-cdn.incrowdsports.com/a074edc1-e180-4515-a876-447884b570b1.png
9,17.0,4.0,13.705882352941176,1.4,0.1,0.2,25%,0.4,1.3,31.8%,0.1,0.1,50%,0.2,1.1,1.2,2.1,0.6,1.1,0.1,0.1,2.0,0.4,1.6,002361,"VIVES, GUILLEM",31,https://media-cdn.incrowdsports.com/a8d169b3-dcd3-42f0-825d-ffc1ec94ac0d.png,JOV,CJB,Club Joventut Badalona,https://media-cdn.incrowdsports.com/4867b9ca-abc6-48fd-a47f-011904a74bf8.png
10,17.0,3.0,8.663725490196079,2.4,0.8,1.5,53.8%,0.0,0.0,0%,0.7,1.2,57.1%,1.1,0.5,1.6,0.4,0.1,0.9,0.3,0.2,1.9,1.1,1.6,012405,"HALTALI, FURKAN",22,https://media-cdn.incrowdsports.com/495c232a-4411-4d24-9fd2-62a7614a8131.png,BAH,BKS,Bahcesehir Koleji Istanbul,https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png
