player.name,gamesPlayed,minutesPlayed,pointsScored,totalRebounds,assists,steals,blocks,turnovers,twoPointersPercentage,threePointersPercentage,freeThrowsPercentage,pir,price
"VEZENKOV, SASHA",78.0,29.80363247863248,18.6,6.7,1.9,0.9,0.2,1.0,65.0,38.0,88.4,22.6,16.0
,,,,,,,,,,,,,15.7
"NUNN, KENDRICK",75.0,29.25133333333333,18.2,3.1,3.6,0.9,0.2,2.9,51.6,39.9,89.6,15.5,15.6
"MIROTIC, NIKOLA",80.0,26.320208333333333,16.6,5.5,1.4,0.9,0.4,1.6,58.9,39.8,85.4,19.1,15.5
"SHENGELIA, TORNIKE",84.0,26.11706349206349,13.5,4.5,3.1,0.9,0.3,2.5,53.6,32.1,79.5,15.8,15.5
"LESSORT, MATHIAS",98.0,29.053571428571427,13.0,6.7,1.4,0.9,0.8,1.6,66.1,0.0,65.5,19.5,15.4
"MONEKE, CHIMA",83.0,23.778915662650604,11.9,5.7,1.6,0.9,0.4,1.7,61.3,31.3,79.5,15.8,15.3
"JAMES, MIKE",118.0,30.437429378531075,16.6,3.6,5.1,1.1,0.0,2.1,45.9,32.7,78.1,17.7,15.2
"LEDAY, ZACH",102.0,29.586601307189543,12.6,4.7,1.3,0.7,0.2,1.2,53.0,41.4,88.9,15.6,15.2
"TAVARES, WALTER",114.0,23.760964912280706,10.3,6.7,1.4,0.8,1.6,2.0,67.6,0.0,75.0,16.1,15.0
"CAMPAZZO, FACUNDO",85.0,25.843529411764703,12.1,3.0,6.2,1.2,0.0,2.4,57.0,33.1,86.7,17.3,15.0
,,,,,,,,,,,,,14.9
"JONES, TYRIQUE",66.0,20.00757575757576,9.3,5.1,1.0,0.9,0.5,1.2,63.3,0.0,66.5,12.7,14.5
,,,,,,,,,,,,,14.3
,,,,,,,,,,,,,14.3
"FRANCISCO, SYLVAIN",67.0,22.43681592039801,12.6,2.2,3.9,0.8,0.2,2.1,45.7,34.7,77.5,13.2,14.1
"EDWARDS, CARSEN",103.0,22.397896440129447,13.3,1.8,2.1,0.8,0.1,1.7,49.4,34.4,90.2,10.0,14.1
"HERNANGOMEZ, JUANCHO",71.0,22.55469483568076,7.5,5.5,1.0,0.8,0.3,0.7,55.3,37.4,67.9,11.1,14.0
,,,,,,,,,,,,,14.0
"HEZONJA, MARIO",115.0,23.60913043478261,13.0,4.3,1.2,0.8,0.1,1.3,55.8,38.7,83.7,12.2,13.9
"SHIELDS, SHAVON",67.0,27.96069651741293,13.0,3.5,2.6,1.0,0.1,1.7,54.8,39.6,78.0,14.1,13.8
"LARKIN, SHANE",80.0,29.105625,14.0,2.7,4.8,1.1,0.0,2.0,52.6,39.1,87.7,17.2,13.6
"PUNTER, KEVIN",102.0,27.938235294117646,16.0,2.3,2.7,1.1,0.1,1.7,52.0,39.8,92.3,15.3,13.5
,,,,,,,,,,,,,13.5
,,,,,,,,,,,,,13.3
,,,,,,,,,,,,,13.3
"MUSA, DZANAN",114.0,22.25687134502924,13.5,2.9,2.3,0.4,0.2,1.5,57.8,38.5,83.4,14.4,13.2
"CLYBURN, WILL",83.0,30.028915662650604,14.8,5.1,2.2,1.0,0.2,1.5,50.2,34.9,81.5,16.5,13.0
"BRYANT, ELIJAH",96.0,24.1546875,10.9,4.1,2.5,0.9,0.3,1.8,52.4,37.5,88.4,12.1,13.0
,,,,,,,,,,,,,13.0
,,,,,,,,,,,,,13.0
,,,,,,,,,,,,,12.9
,,,,,,,,,,,,,12.8
"POIRIER, VINCENT",108.0,18.340123456790124,8.3,4.8,0.8,0.4,1.2,0.9,65.4,26.7,71.0,11.9,12.8
