playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,league
1,34.0,4.0,11.748039215686276,2.4,0.5,1.3,37.2%,0.4,1.6,25.9%,0.2,0.4,46.7%,0.4,0.7,1.1,0.9,0.4,1.0,0.1,0.1,1.4,0.6,0.8,010070,"MOELLER, LEIF",EuroCup
2,35.0,13.0,16.862857142857145,3.4,0.8,2.3,35.8%,0.4,1.3,31.9%,0.5,1.0,44.4%,0.3,1.3,1.6,1.9,0.4,1.6,0.1,0.3,2.9,1.3,0.8,009400,"CASARIN, DAVIDE",EuroCup
3,27.0,0.0,8.070987654320987,2.3,1.0,1.7,58.7%,0.0,0.1,0%,0.3,0.4,80%,0.7,0.9,1.6,0.5,0.4,1.0,0.1,0.1,1.9,0.5,1.6,012695,"REECE, CAMRON",EuroCup
4,36.0,0.0,9.516203703703702,2.6,0.6,1.1,53.8%,0.4,1.2,38.1%,0.1,0.2,71.4%,0.2,0.8,1.0,1.0,0.3,0.9,0.1,0.0,1.2,0.5,2.0,010726,"JENSEN, TOBIAS",EuroCup
5,43.0,10.0,9.765891472868216,3.3,0.9,1.6,57.1%,0.3,1.3,25.5%,0.5,0.7,66.7%,0.2,0.6,0.8,0.9,0.2,0.8,0.0,0.1,1.3,0.9,2.1,007560,"KLJAJIC, JOVAN",EuroCup
6,30.0,5.0,13.596666666666666,4.0,0.9,2.0,47.5%,0.6,1.5,38.6%,0.5,0.6,73.7%,0.6,0.9,1.5,0.6,0.3,0.4,0.1,0.1,1.8,0.9,3.0,007828,"CONTI, LUCA",EuroCup
7,31.0,25.0,15.220430107526882,4.2,1.5,2.6,56.1%,0.3,0.7,40.9%,0.3,0.6,55.6%,1.0,1.0,2.0,0.7,0.4,0.4,0.1,0.3,1.9,0.6,3.4,006566,"SLAVKOVIC, ANDRIJA",EuroCup
8,35.0,12.0,13.033809523809524,3.7,0.7,1.1,63.2%,0.7,2.1,30.7%,0.4,0.4,93.3%,0.6,1.1,1.7,0.5,0.6,0.3,0.4,0.1,1.6,0.4,3.5,011943,"TKACHENKO, IVAN",EuroCup
9,34.0,5.0,10.587254901960783,3.8,1.4,2.7,53.3%,0.0,0.4,6.7%,0.8,1.2,70%,0.6,1.3,1.9,0.4,0.3,0.6,0.2,0.1,1.3,1.1,3.7,007952,"BRETZEL, NICOLAS",EuroCup
10,46.0,15.0,14.129710144927538,3.4,1.0,1.6,65.3%,0.3,0.7,43.8%,0.5,0.7,67.7%,1.1,1.1,2.2,0.8,0.4,0.4,0.0,0.1,2.2,0.7,3.7,009392,"RADOVIC, ROK",EuroCup
11,38.0,11.0,11.116228070175438,2.7,0.7,1.2,55.3%,0.2,0.7,28.6%,0.7,1.1,63.4%,0.6,1.9,2.5,0.7,0.3,0.4,0.1,0.1,1.8,1.2,3.8,007917,"DURMAZ, BERKAN",EuroCup
12,33.0,5.0,16.416161616161617,6.7,1.3,3.4,38.4%,1.0,3.3,30.3%,1.1,1.3,81.4%,0.7,1.0,1.7,2.2,0.5,0.9,0.0,0.3,2.3,0.9,3.8,011966,"SYDOROV, ILLIA",EuroCup
13,53.0,5.0,15.170440251572328,5.5,1.1,2.7,40.4%,0.9,3.0,28.9%,0.8,0.8,95.3%,0.5,1.3,1.7,1.5,0.8,0.9,0.1,0.2,2.4,1.3,3.8,006382,"FORRAY, TOTO",EuroCup
14,48.0,3.0,15.628125,4.0,0.8,1.3,59%,0.7,1.7,43.7%,0.3,0.4,82.4%,0.5,1.4,1.9,0.9,0.5,0.9,0.0,0.1,1.4,0.5,3.8,010450,"COURBY, MAXIME",EuroCup
15,51.0,20.0,15.282679738562091,4.4,0.9,1.3,67.6%,0.6,2.1,29.9%,0.7,1.1,65.5%,0.6,1.5,2.1,0.6,0.5,0.6,0.1,0.1,2.2,1.2,3.9,006771,"BUSQUETS, PEP",EuroCup
