playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl,price
69.0,39.0,28.0,18.87136752136752,5.9,1.1,1.9,58.9%,1.0,2.2,46%,0.6,0.7,88.5%,0.4,1.9,2.4,1.7,0.5,0.5,0.0,0.0,1.8,0.6,6.6,003733,"ABALDE, ALBERTO",29.0,https://media-cdn.incrowdsports.com/192d6d61-9180-4b9a-91c0-eff940b1f27e.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,6.1
,,,,,,,,,,,,,,,,,,,,,,,,,,"ABASS, AWUDU",,,,,,,7.7
30.0,37.0,18.0,17.006756756756758,4.5,0.4,0.8,50%,1.1,2.8,37.9%,0.6,0.6,91.3%,0.8,1.3,2.1,0.7,0.5,0.3,0.1,0.1,2.4,1.2,4.2,003478,"ABRINES, ALEX",31.0,https://media-cdn.incrowdsports.com/47795ee0-c812-487a-be8a-67900a5ab8d5.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,
,,,,,,,,,,,,,,,,,,,,,,,,,,"ACCORSI, MATTEO",,,,,,,4.0
16.0,27.0,11.0,14.42777777777778,5.4,0.6,1.2,50%,1.3,3.0,42.7%,0.4,0.4,90.9%,0.3,0.9,1.2,0.3,0.1,0.6,0.0,0.2,1.7,0.5,2.7,010316,"AJINCA, MELVIN",20.0,https://media-cdn.incrowdsports.com/62fd0b36-381b-4f98-8048-201184353375.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,
,,,,,,,,,,,,,,,,,,,,,,,,,,"AKELE, NICOLA",,,,,,,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,,"ALMANSA, IZAN",,,,,,,6.8
106.0,37.0,18.0,19.57072072072072,7.1,1.8,2.9,62.6%,0.8,2.0,41.3%,1.0,1.1,88.1%,0.7,2.1,2.8,1.4,0.7,0.5,0.3,0.1,1.8,1.1,8.5,012795,"ANDERSON, JUSTIN",31.0,https://media-cdn.incrowdsports.com/3baf817d-a882-4f75-80ac-f5a9b39ea1b4.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,7.6
,,,,,,,,,,,,,,,,,,,,,,,,,,"ANDJUSIC, DANILO",,,,,,,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"ANTETOKOUNMPO, KOSTAS",,,,,,,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"ASTON JR., DERRICK",,,,,,,9.8
,,,,,,,,,,,,,,,,,,,,,,,,,,"ATAMAN, ERGIN",,,,,,,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,"AVRAMOVIC, ALEKSA",,,,,,,7.8
,,,,,,,,,,,,,,,,,,,,,,,,,,"AYAYI, JOEL",,,,,,,8.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"BACON, DWAYNE",,,,,,,11.7
,,,,,,,,,,,,,,,,,,,,,,,,,,"BACOT, ARMANDO",,,,,,,11.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"BADIO, BRANCOU",,,,,,,8.7
