playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,price,fantasy_points_total,fantasy_points_per_game,value_score
191.0,38.0,38.0,30.39342105263158,19.8,4.9,7.6,64.5%,1.9,4.9,38.2%,4.3,4.9,88.6%,1.9,4.7,6.6,1.8,0.9,1.1,0.2,0.3,1.3,3.4,23.7,003469,"VEZENKOV, SASHA",16.0,23.699999999999996,0.6236842105263157,0.03898026315789473
,,,,,,,,,,,,,,,,,,,,,,,,,,"MICIC, VASILIJE",15.7,,,
186.0,40.0,39.0,30.82708333333333,20.0,4.4,7.9,56.3%,2.7,7.0,39.2%,3.0,3.4,86.2%,0.8,2.7,3.5,4.2,1.0,2.8,0.2,0.6,2.8,4.1,18.7,012774,"NUNN, KENDRICK",15.6,18.6,0.465,0.02980769230769231
189.0,30.0,30.0,27.487222222222226,17.7,3.3,6.0,55%,2.0,5.2,38.9%,5.0,5.6,89.3%,1.8,4.6,6.4,2.0,1.0,1.9,0.3,0.2,1.8,4.9,22.0,000796,"MIROTIC, NIKOLA",15.5,21.900000000000006,0.7300000000000002,0.0470967741935484
181.0,28.0,25.0,27.45595238095238,15.6,4.4,8.6,51.3%,0.9,2.5,36.2%,4.2,5.1,82.4%,1.6,3.4,5.0,2.7,0.7,2.5,0.4,0.4,2.5,5.2,17.5,001133,"SHENGELIA, TORNIKE",15.5,17.499999999999996,0.6249999999999999,0.04032258064516128
,,,,,,,,,,,,,,,,,,,,,,,,,,"LESSORT, MATHIAS",15.4,,,
185.0,33.0,29.0,28.203535353535354,14.0,3.4,5.2,64.5%,1.2,3.9,29.5%,3.8,4.7,81.3%,2.2,3.9,6.1,2.3,0.9,1.9,0.3,0.4,1.8,4.7,18.6,012201,"MONEKE, CHIMA",15.3,18.800000000000004,0.5696969696969698,0.037235096058625475
180.0,41.0,41.0,29.341463414634145,15.9,3.3,7.3,44.8%,1.9,5.6,33%,3.8,4.9,78.9%,0.3,2.6,3.0,5.8,1.1,1.9,0.0,0.6,1.8,4.7,17.4,005985,"JAMES, MIKE",15.2,17.4,0.424390243902439,0.0279204107830552
187.0,34.0,23.0,27.644117647058824,16.0,3.2,6.0,53.2%,1.6,3.5,46.2%,4.8,5.2,91.5%,0.7,3.8,4.5,1.2,0.7,1.3,0.1,0.4,2.0,5.7,19.4,008987,"LEDAY, ZACH",15.2,19.4,0.5705882352941176,0.03753869969040248
169.0,40.0,37.0,23.26333333333333,10.2,4.2,5.7,73.8%,0.0,0.0,0%,1.8,2.4,72.2%,2.4,4.1,6.6,1.2,0.7,2.0,1.2,0.2,3.0,2.8,15.3,005791,"TAVARES, WALTER",15.0,15.399999999999997,0.3849999999999999,0.02566666666666666
