Player,fantasy_points_mean,fantasy_points_std,fantasy_points_sum,fantasy_points_max,Minutes_mean,Points_mean,TotalRebounds_mean,Assistances_mean,Valuation_mean,Team_first,games_played,player.name,price,value_score,consistency,points_per_credit
"VEZENKOV, SASHA",23.736842105263158,8.136285793587634,902.0,52.0,30.39342105263158,19.763157894736842,6.578947368421052,1.8421052631578947,23.736842105263158,OLY,38.0,"VEZENKOV, SASHA",16.0,1.4835526315789473,0.10945366887514148,1.4835526315789473
"NUNN, KENDRICK",18.725,11.140104266878433,749.0,43.0,30.82708333333333,20.05,3.525,4.15,18.725,PAN,40.0,"NUNN, KENDRICK",15.6,1.200320512820513,0.08237161543400225,1.200320512820513
"MIROTIC, NIKOLA",21.966666666666665,8.479115655470833,659.0,40.0,27.487222222222222,17.7,6.4,1.9666666666666666,21.966666666666665,MIL,30.0,"MIROTIC, NIKOLA",15.5,1.4172043010752686,0.10549507320578519,1.4172043010752686
"SHENGELIA, TORNIKE",17.5,8.850612031567836,490.0,39.0,27.45595238095238,15.642857142857142,5.0,2.6785714285714284,17.5,VIR,28.0,"SHENGELIA, TORNIKE",15.5,1.1290322580645162,0.10151653489096339,1.1290322580645162
"LESSORT, MATHIAS",20.05263157894737,6.0504699928603,381.0,32.0,25.45175438596491,13.0,6.578947368421052,1.631578947368421,20.05263157894737,PAN,19.0,"LESSORT, MATHIAS",15.4,1.3021189336978811,0.14183451614043543,1.3021189336978811
"MONEKE, CHIMA",18.606060606060606,9.499800635866634,614.0,34.0,28.203535353535354,14.0,6.0606060606060606,2.303030303030303,18.606060606060606,BAS,33.0,"MONEKE, CHIMA",15.3,1.2160823925529807,0.09523990356388913,1.2160823925529807
"JAMES, MIKE",17.4390243902439,7.953140198964825,715.0,33.0,29.341463414634145,15.926829268292684,2.951219512195122,5.7560975609756095,17.4390243902439,MCO,41.0,"JAMES, MIKE",15.2,1.1473042362002568,0.11169265506594228,1.1473042362002568
"LEDAY, ZACH",19.441176470588236,9.22181595365392,661.0,39.0,27.644117647058824,16.029411764705884,4.470588235294118,1.1764705882352942,19.441176470588236,MIL,34.0,"LEDAY, ZACH",15.2,1.2790247678018576,0.09782997507820879,1.2790247678018576
"TAVARES, WALTER",15.275,8.617178728027477,611.0,39.0,23.263333333333332,10.2,6.575,1.15,15.275,MAD,40.0,"TAVARES, WALTER",15.0,1.0183333333333333,0.10398059849773678,1.0183333333333333
"CAMPAZZO, FACUNDO",17.512820512820515,9.161911415350296,683.0,43.0,25.74017094017094,11.974358974358974,3.051282051282051,6.0,17.512820512820515,MAD,39.0,"CAMPAZZO, FACUNDO",15.0,1.1675213675213676,0.09840668346010459,1.1675213675213676
"JONES, CARLIK",17.294117647058822,9.130466521204196,588.0,37.0,26.96421568627451,14.117647058823529,3.2058823529411766,5.352941176470588,17.294117647058822,PAR,34.0,"JONES, CARLIK",14.9,1.1606790367153572,0.09871213708735807,1.1606790367153572
"JONES, TYRIQUE",16.0,8.576035628236056,512.0,32.0,22.633854166666666,11.59375,6.0,1.03125,16.0,PAR,32.0,"JONES, TYRIQUE",14.5,1.103448275862069,0.10442734747679755,1.103448275862069
"SHORTS, TJ",22.756756756756758,8.203676023606754,842.0,41.0,27.329279279279277,19.027027027027028,2.5945945945945947,7.324324324324325,22.756756756756758,PRS,37.0,"SHORTS, TJ",14.3,1.5913815913815914,0.10865223823992429,1.5913815913815914
"HOARD, JAYLEN",15.592592592592593,8.784861363379001,421.0,34.0,27.235802469135802,13.074074074074074,4.481481481481482,1.2222222222222223,15.592592592592593,TEL,27.0,"HOARD, JAYLEN",14.3,1.0903910903910905,0.1021986886541508,1.0903910903910905
"FRANCISCO, SYLVAIN",15.529411764705882,9.022649258587732,528.0,36.0,25.491176470588236,14.558823529411764,2.6470588235294117,4.529411764705882,15.529411764705882,ZAL,34.0,"FRANCISCO, SYLVAIN",14.1,1.1013767209011265,0.09977401924378103,1.1013767209011265
