playerRanking,gamesPlayed,minutesPlayed,effectiveFieldGoalPercentage,trueShootingPercentage,offensiveReboundsPercentage,defensiveReboundsPercentage,reboundsPercentage,assistsToTurnoversRatio,assistsRatio,turnoversRatio,twoPointAttemptsRatio,threePointAttemptsRatio,freeThrowsRate,possesions,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,17.0,16.184313725490195,36.8%,41.1%,1.7%,6.8%,4.3%,0.9,24.9%,28.8%,24.1%,17.1%,28.3%,7.6,009400,"CASARIN, DAVIDE",21,https://media-cdn.incrowdsports.com/f3615b58-07f0-46cb-91e2-b99be06fe4ad.png,VNC,URV,Umana Reyer Venice,https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png
2,13.0,8.99871794871795,27.8%,37.2%,5.1%,7.6%,6.2%,0.2,3.5%,21%,14%,49.1%,44.4%,2.2,013310,"GREY, JARED",19,https://media-cdn.incrowdsports.com/f64fbc22-8e36-4ec0-b3d4-f63f7f620e05.png,HAM,HAM,Hamburg Towers,https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png
3,16.0,6.464583333333334,30%,38.9%,6.8%,8.8%,7.9%,1.0,14.5%,14.5%,55.2%,2.9%,50%,2.2,004619,"AGVA, MAHIR",28,https://media-cdn.incrowdsports.com/60f01b3d-0670-4d21-8fd8-26d4fc140228.png,TTK,TTA,Turk Telekom Ankara,https://media-cdn.incrowdsports.com/4ba35608-54ca-4800-a59c-f2571e6f8e13.png
4,16.0,11.789583333333333,38.5%,39.8%,3.9%,8.3%,6%,0.8,17.8%,22.6%,21.4%,35.6%,10.4%,5.3,010070,"MOELLER, LEIF",21,https://media-cdn.incrowdsports.com/cc559358-d061-409c-b9f4-3e1db0a54c2b.png,HAM,HAM,Hamburg Towers,https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png
5,14.0,9.498809523809523,35.2%,41%,2.4%,5.5%,4%,0.7,10.6%,14.8%,29.6%,27.4%,70.4%,3.4,013281,"CORNELIUS, OR",28,https://media-cdn.incrowdsports.com/effbb81b-d746-49bb-a6e8-77f1b0220bb1.png,JER,JLM,Hapoel Jerusalem Basketball Club,https://media-cdn.incrowdsports.com/8058e0c5-3042-45e1-9423-f93f33c54576.png
6,17.0,8.486274509803922,47.7%,52.6%,4.2%,6.3%,5.3%,0.7,17.2%,24.5%,29.4%,24.5%,18.2%,4.8,012415,"TUNCA, MELIH",19,https://media-cdn.incrowdsports.com/84131a4c-7cf1-4e32-858e-dd854de48c6d.png,TTK,TTA,Turk Telekom Ankara,https://media-cdn.incrowdsports.com/4ba35608-54ca-4800-a59c-f2571e6f8e13.png
7,16.0,14.786458333333334,50%,51.7%,3.6%,6.6%,5.1%,0.3,8%,24.1%,24.1%,42.1%,6.1%,3.1,013356,"GKIOUZELIS, GEORGIOS",29,https://media-cdn.incrowdsports.com/737521ff-c0ef-4cfd-9f8a-2c2f432b3cea.png,ARI,ARI,Aris Thessaloniki,https://media-cdn.incrowdsports.com/dffbb68c-00b9-4a19-9e07-d98189caa409.png
8,16.0,7.396875,60%,62.5%,3.1%,10.7%,7%,0.7,19.5%,27.3%,25.4%,23.4%,20%,3.2,007560,"KLJAJIC, JOVAN",23,https://media-cdn.incrowdsports.com/c3cb4c76-806e-4976-8dc7-a073e508510d.png,CAN,DGC,Club Baloncesto Gran Canaria,https://media-cdn.incrowdsports.com/a074edc1-e180-4515-a876-447884b570b1.png
9,17.0,13.705882352941176,44.2%,44.6%,1.6%,8.8%,5.3%,1.9,44%,23.2%,4.9%,26.9%,7.7%,4.8,002361,"VIVES, GUILLEM",31,https://media-cdn.incrowdsports.com/a8d169b3-dcd3-42f0-825d-ffc1ec94ac0d.png,JOV,CJB,Club Joventut Badalona,https://media-cdn.incrowdsports.com/4867b9ca-abc6-48fd-a47f-011904a74bf8.png
10,17.0,8.663725490196079,53.8%,56.8%,15.5%,7.1%,11.2%,0.5,12.2%,26.2%,45.4%,0%,80.8%,3.4,012405,"HALTALI, FURKAN",22,https://media-cdn.incrowdsports.com/495c232a-4411-4d24-9fd2-62a7614a8131.png,BAH,BKS,Bahcesehir Koleji Istanbul,https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png
11,16.0,7.209375,45.5%,49.6%,6.4%,12.5%,9.6%,1.3,12.8%,9.6%,41.7%,28.8%,22.7%,2.0,009877,"BLAYZER, OZ",32,https://media-cdn.incrowdsports.com/bdacdbae-3add-4198-8b38-a61ef585c9dd.png,HTA,HTA,Hapoel Tel Aviv,https://media-cdn.incrowdsports.com/cbb1c3ad-03d5-426a-b5ef-2832a4eee484.png
12,17.0,13.202941176470588,42.1%,54.2%,7.5%,9%,8.2%,0.6,12%,20.1%,48.2%,2.7%,76.3%,4.4,013355,"CHATZIDAKIS, EMMANOUIL",24,https://media-cdn.incrowdsports.com/9f9c0982-6463-4e58-a2dc-50a42d6ca21e.png,ARI,ARI,Aris Thessaloniki,https://media-cdn.incrowdsports.com/dffbb68c-00b9-4a19-9e07-d98189caa409.png
13,17.0,10.786274509803922,33.7%,36.9%,2%,10.2%,6.2%,3.1,29.8%,9.5%,10.8%,47.5%,9.3%,4.3,JUG,"RIBAS, PAU",37,https://media-cdn.incrowdsports.com/a401ec84-fd4d-4e12-a2f0-67f8c458f795.png,JOV,CJB,Club Joventut Badalona,https://media-cdn.incrowdsports.com/4867b9ca-abc6-48fd-a47f-011904a74bf8.png
14,17.0,5.790196078431372,59.4%,64.4%,8.8%,4.6%,6.6%,0.0,21.2%,0%,8.5%,59.2%,37.5%,1.4,013283,"PALATIN, GUY",24,https://media-cdn.incrowdsports.com/fea74d45-4528-45cd-8e77-25e6ca400d1c.png,HTA,HTA,Hapoel Tel Aviv,https://media-cdn.incrowdsports.com/cbb1c3ad-03d5-426a-b5ef-2832a4eee484.png
15,16.0,9.00625,50%,52.5%,2.3%,11.3%,6.5%,1.3,29.9%,22.8%,27%,18.5%,9.4%,4.4,010726,"JENSEN, TOBIAS",20,https://media-cdn.incrowdsports.com/45686120-e926-441a-abbd-272b9ec56a9f.png,ULM,ULM,ratiopharm Ulm,https://media-cdn.incrowdsports.com/497dc717-214d-4c03-8c67-0c4870278aa0.png
16,14.0,12.991666666666665,37.5%,46.5%,2.6%,4.6%,3.6%,1.2,17.9%,15.5%,28.6%,23.8%,61.4%,6.0,013258,"DREZNJAK, MATEO",25,https://media-cdn.incrowdsports.com/6ba06f56-4bec-40a8-a4d0-d0752c28546c.png,BUD,BUD,KK Buducnost,https://media-cdn.incrowdsports.com/47161285-94b3-4266-9d23-b722e8600945.png
17,13.0,7.137179487179487,48.1%,50.8%,7.2%,21.6%,14%,0.4,7.4%,17.3%,54.3%,12.3%,29.6%,3.1,007952,"BRETZEL, NICOLAS",25,https://media-cdn.incrowdsports.com/8c28784a-5832-469d-87a6-8bc9df30ce23.png,ULM,ULM,ratiopharm Ulm,https://media-cdn.incrowdsports.com/497dc717-214d-4c03-8c67-0c4870278aa0.png
18,13.0,7.158974358974358,60.6%,61.6%,11.1%,8.3%,9.7%,0.3,4.5%,13.5%,60.6%,13.5%,24.2%,3.4,006571,"LEVER, ALESSANDRO",26,https://media-cdn.incrowdsports.com/189b41d7-eb73-4986-99c6-f8d0029992f2.png,VNC,URV,Umana Reyer Venice,https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png
19,14.0,9.276190476190477,50%,54.4%,11.1%,15.9%,13.4%,0.5,13.7%,25.9%,51.9%,3.1%,22.2%,4.7,012695,"REECE, CAMRON",25,https://media-cdn.incrowdsports.com/cd60eb65-2fb8-4bd9-b357-7f58d7c50a98.png,HAM,HAM,Hamburg Towers,https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png
20,20.0,13.123333333333331,71.6%,72.5%,8.5%,6.4%,7.5%,2.3,22.8%,9.8%,37.5%,22.8%,27%,3.1,009392,"RADOVIC, ROK",23,https://media-cdn.incrowdsports.com/2bc7c261-de1f-46ba-8c4c-aec3f2f04010.png,LJU,COL,KK Cedevita Olimpija,https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png
21,18.0,13.825,45.7%,47.3%,2.7%,10.5%,6.5%,1.5,13.8%,8.9%,34.9%,40.6%,5.4%,6.8,006382,"FORRAY, TOTO",38,https://media-cdn.incrowdsports.com/6c16ee13-22a8-4495-933d-da832c04cdde.png,TRN,TRE,Dolomiti Energia Trento,https://media-cdn.incrowdsports.com/00c5cc07-732c-43c3-9d6e-5440594a25f8.png
