Season,Phase,Round,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2024,RS,1,1,4,ULM,P011437,"SARAF, BEN",2FGA,Missed Two Pointer,0,75,75,C,0,0,0,1,09:41,0,0,20240925170135
2024,RS,1,1,8,ULM,P006997,"HERKENHOFF, PHILIPP",2FGM,Two Pointer,2,87,43,C,0,1,0,1,09:32,0,2,20240925170144
2024,RS,1,1,11,TSO,P013295,"ZYSKOWSKI, JAROSLAW",FTM,Free Throw In,1,-1,-1, ,0,0,0,1,09:31,1,2,20240925170210
2024,RS,1,1,13,TSO,P013295,"ZYSKOWSKI, JAROSLAW",FTM,Free Throw In,1,-1,-1, ,0,0,0,1,09:31,2,2,20240925170222
2024,RS,1,1,14,ULM,P011437,"SARAF, BEN",2FGA,Missed Two Pointer,0,125,37,C,0,0,0,1,09:19,2,2,20240925170244
2024,RS,1,1,18,ULM,P011437,"SARAF, BEN",3FGA,Missed Three Pointer,0,696,18,I,0,0,0,1,09:05,2,2,20240925170310
2024,RS,1,1,22,TSO,P013295,"ZYSKOWSKI, JAROSLAW",3FGA,Missed Three Pointer,0,-483,608,H,0,0,0,2,08:50,2,2,20240925170331
2024,RS,1,1,28,TSO,P013293,"MCGOWENS, ROBERT",FTM,Free Throw In,1,-1,-1, ,0,1,0,2,08:50,3,2,20240925170352
2024,RS,1,1,31,ULM,P006997,"HERKENHOFF, PHILIPP",2FGM,Two Pointer,2,-50,87,B,0,0,0,2,08:37,3,4,20240925170434
2024,RS,1,1,33,TSO,P009649,"PHILLIP, TARIK",3FGM,Three Pointer,3,439,646,I,0,0,0,2,08:10,6,4,20240925170458
2024,RS,1,1,37,TSO,P013295,"ZYSKOWSKI, JAROSLAW",3FGA,Missed Three Pointer,0,464,633,I,0,0,0,3,07:21,6,4,20240925170628
2024,RS,1,1,39,ULM,P011437,"SARAF, BEN",2FGM,Two Pointer,2,75,87,C,0,0,0,3,07:02,6,6,20240925170705
2024,RS,1,1,42,TSO,P013295,"ZYSKOWSKI, JAROSLAW",2FGA,Missed Two Pointer,0,-163,250,D,0,0,0,4,06:50,6,6,20240925170740
2024,RS,1,1,44,ULM,P013290,"JESSUP, JUSTINIAN",3FGM,Three Pointer,3,56,771,I,0,0,0,4,06:34,6,9,20240925170758
2024,RS,1,1,46,TSO,P012019,"BEST, AARON",3FGA,Missed Three Pointer,0,-633,326,H,0,0,0,4,06:20,6,9,20240925170826
2024,RS,1,1,50,TSO,P013295,"ZYSKOWSKI, JAROSLAW",FTM,Free Throw In,1,-1,-1, ,0,1,0,4,06:19,7,9,20240925170854
2024,RS,1,1,51,TSO,P013295,"ZYSKOWSKI, JAROSLAW",FTM,Free Throw In,1,-1,-1, ,0,1,0,4,06:19,8,9,20240925170906
2024,RS,1,1,55,ULM,P013290,"JESSUP, JUSTINIAN",2FGA,Missed Two Pointer,0,175,257,E,0,0,0,5,05:58,8,9,20240925170950
2024,RS,1,1,59,TSO,P013293,"MCGOWENS, ROBERT",FTM,Free Throw In,1,-1,-1, ,0,0,0,5,05:54,9,9,20240925171028
2024,RS,1,1,61,TSO,P013293,"MCGOWENS, ROBERT",FTM,Free Throw In,1,-1,-1, ,0,0,0,5,05:54,10,9,20240925171040
2024,RS,1,1,62,ULM,P011437,"SARAF, BEN",2FGA,Missed Two Pointer,0,25,501,G,0,0,0,5,05:33,10,9,20240925171104
2024,RS,1,1,64,ULM,P006997,"HERKENHOFF, PHILIPP",2FGM,Two Pointer,2,106,131,C,0,1,0,5,05:27,10,11,20240925171110
2024,RS,1,1,65,TSO,P013295,"ZYSKOWSKI, JAROSLAW",2FGM,Two Pointer,2,-94,282,D,0,0,0,5,05:08,12,11,20240925171129
2024,RS,1,1,67,ULM,P013290,"JESSUP, JUSTINIAN",3FGM,Three Pointer,3,-432,721,H,0,0,0,6,04:53,12,14,20240925171144
2024,RS,1,1,79,TSO,P009649,"PHILLIP, TARIK",FTM,Free Throw In,1,-1,-1, ,0,0,0,6,04:40,13,14,20240925171425
2024,RS,1,1,84,ULM,P012077,"PLUMMER, ALFONSO",3FGA,Missed Three Pointer,0,376,683,I,0,0,0,6,04:22,13,14,20240925171500
2024,RS,1,1,86,TSO,P013296,"GROSELLE, GEOFFREY",2FGM,Two Pointer,2,-125,207,D,0,0,0,6,04:13,15,14,20240925171509
2024,RS,1,1,96,ULM,P012077,"PLUMMER, ALFONSO",3FGA,Missed Three Pointer,0,388,715,I,0,0,0,7,03:55,15,14,20240925171620
2024,RS,1,1,98,TSO,P013297,"WEATHERS, MARCUS",2FGA,Missed Two Pointer,0,-100,163,B,0,0,0,7,03:46,15,14,20240925171629
2024,RS,1,1,108,TSO,P013295,"ZYSKOWSKI, JAROSLAW",2FGA,Missed Two Pointer,0,-119,169,B,0,0,0,7,03:14,15,14,20240925171741
2024,RS,1,1,110,TSO,P008790,"WITLINSKI, MIKOLAJ",2FGM,Two Pointer,2,-100,125,B,0,1,1,7,03:11,17,14,20240925171745
2024,RS,1,1,112,ULM,P007952,"BRETZEL, NICOLAS",2FGM,Two Pointer,2,-37,69,B,0,0,0,8,02:59,17,16,20240925171757
2024,RS,1,1,118,TSO,P009649,"PHILLIP, TARIK",FTM,Free Throw In,1,-1,-1, ,0,0,0,8,02:49,18,16,20240925171852
2024,RS,1,1,119,TSO,P009649,"PHILLIP, TARIK",FTM,Free Throw In,1,-1,-1, ,0,0,0,8,02:49,19,16,20240925171910
2024,RS,1,1,123,ULM,P011391,"ESSENGUE, NOA",2FGA,Missed Two Pointer,0,-56,94,B,0,0,0,8,02:27,19,16,20240925172005
2024,RS,1,1,125,ULM,P007952,"BRETZEL, NICOLAS",2FGM,Two Pointer,2,6,12,A,0,1,0,8,02:18,19,18,20240925172014
2024,RS,1,1,126,TSO,P012019,"BEST, AARON",3FGM,Three Pointer,3,-696,-81,H,0,0,0,8,02:11,22,18,20240925172021
2024,RS,1,1,131,TSO,P012019,"BEST, AARON",2FGM,Two Pointer,2,-81,56,B,1,0,1,9,01:59,24,18,20240925172039
2024,RS,1,1,135,ULM,P013290,"JESSUP, JUSTINIAN",3FGA,Missed Three Pointer,0,414,846,I,0,0,0,9,01:45,24,18,20240925172243
2024,RS,1,1,137,ULM,P007952,"BRETZEL, NICOLAS",2FGM,Two Pointer,2,87,50,C,0,1,0,9,01:39,24,20,20240925172254
