playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,34.0,4.0,11.748039215686275,2.4,0.5,1.3,37.2%,0.4,1.6,25.9%,0.2,0.4,46.7%,0.4,0.7,1.1,0.9,0.4,1.0,0.1,0.1,1.4,0.6,0.8,010070,"MOELLER, LEIF",21,https://media-cdn.incrowdsports.com/cc559358-d061-409c-b9f4-3e1db0a54c2b.png,HAM,HAM,Hamburg Towers,https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png
2,35.0,13.0,16.862857142857145,3.4,0.8,2.3,35.8%,0.4,1.3,31.9%,0.5,1.0,44.4%,0.3,1.3,1.6,1.9,0.4,1.6,0.1,0.3,2.9,1.3,0.8,009400,"CASARIN, DAVIDE",21,https://media-cdn.incrowdsports.com/f3615b58-07f0-46cb-91e2-b99be06fe4ad.png,VNC,URV,Umana Reyer Venice,https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png
3,27.0,0.0,8.070987654320987,2.3,1.0,1.7,58.7%,0.0,0.1,0%,0.3,0.4,80%,0.7,0.9,1.6,0.5,0.4,1.0,0.1,0.1,1.9,0.5,1.6,012695,"REECE, CAMRON",25,https://media-cdn.incrowdsports.com/cd60eb65-2fb8-4bd9-b357-7f58d7c50a98.png,HAM,HAM,Hamburg Towers,https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png
4,36.0,0.0,9.516203703703702,2.6,0.6,1.1,53.8%,0.4,1.2,38.1%,0.1,0.2,71.4%,0.2,0.8,1.0,1.0,0.3,0.9,0.1,0.0,1.2,0.5,2.0,010726,"JENSEN, TOBIAS",20,https://media-cdn.incrowdsports.com/45686120-e926-441a-abbd-272b9ec56a9f.png,ULM,ULM,ratiopharm Ulm,https://media-cdn.incrowdsports.com/497dc717-214d-4c03-8c67-0c4870278aa0.png
5,43.0,10.0,9.765891472868217,3.3,0.9,1.6,57.1%,0.3,1.3,25.5%,0.5,0.7,66.7%,0.2,0.6,0.8,0.9,0.2,0.8,0.0,0.1,1.3,0.9,2.1,007560,"KLJAJIC, JOVAN",23,https://media-cdn.incrowdsports.com/c3cb4c76-806e-4976-8dc7-a073e508510d.png,CAN,GCA,Club Baloncesto Gran Canaria,https://media-cdn.incrowdsports.com/a074edc1-e180-4515-a876-447884b570b1.png
6,30.0,5.0,13.596666666666666,4.0,0.9,2.0,47.5%,0.6,1.5,38.6%,0.5,0.6,73.7%,0.6,0.9,1.5,0.6,0.3,0.4,0.1,0.1,1.8,0.9,3.0,007828,"CONTI, LUCA",23,https://media-cdn.incrowdsports.com/45d26fd9-0613-4f00-a0bb-da41cfbd6d15.png,TRN,TRE,Dolomiti Energia Trento,https://media-cdn.incrowdsports.com/00c5cc07-732c-43c3-9d6e-5440594a25f8.png
7,31.0,25.0,15.220430107526882,4.2,1.5,2.6,56.1%,0.3,0.7,40.9%,0.3,0.6,55.6%,1.0,1.0,2.0,0.7,0.4,0.4,0.1,0.3,1.9,0.6,3.4,006566,"SLAVKOVIC, ANDRIJA",25,https://media-cdn.incrowdsports.com/0d5afb9d-c9bd-4b67-a967-38a167e4901e.png,BUD,BUD,KK Buducnost,https://media-cdn.incrowdsports.com/47161285-94b3-4266-9d23-b722e8600945.png
8,35.0,12.0,13.033809523809524,3.7,0.7,1.1,63.2%,0.7,2.1,30.7%,0.4,0.4,93.3%,0.6,1.1,1.7,0.5,0.6,0.3,0.4,0.1,1.6,0.4,3.5,011943,"TKACHENKO, IVAN",26,https://media-cdn.incrowdsports.com/509bd443-56d1-46fb-bacf-28c00416c315.png,PMT,PRM,Prometey Slobozhanske,https://media-cdn.incrowdsports.com/277839cf-b5b3-48be-bacf-a1291cee44cc.png
9,34.0,5.0,10.587254901960783,3.8,1.4,2.7,53.3%,0.0,0.4,6.7%,0.8,1.2,70%,0.6,1.3,1.9,0.4,0.3,0.6,0.2,0.1,1.3,1.1,3.7,007952,"BRETZEL, NICOLAS",25,https://media-cdn.incrowdsports.com/8c28784a-5832-469d-87a6-8bc9df30ce23.png,ULM,ULM,ratiopharm Ulm,https://media-cdn.incrowdsports.com/497dc717-214d-4c03-8c67-0c4870278aa0.png
10,46.0,15.0,14.129710144927538,3.4,1.0,1.6,65.3%,0.3,0.7,43.8%,0.5,0.7,67.7%,1.1,1.1,2.2,0.8,0.4,0.4,0.0,0.1,2.2,0.7,3.7,009392,"RADOVIC, ROK",23,https://media-cdn.cortextech.io/0db71f72-6164-48b5-bc8b-bf9be97578df.png,LJU,COL,KK Cedevita Olimpija,https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png
