teamRanking,gamesPlayed,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,team.code,team.tvCodes,team.name,team.imageUrl
1,18.0,40.27777777777778,74.7,19.2,36.8,52%,8.0,26.7,30%,12.4,17.5,70.8%,12.3,21.8,34.2,13.6,7.2,15.7,2.7,3.4,26.7,20.0,65.1,ARI,ARI,Aris Thessaloniki,https://media-cdn.incrowdsports.com/dffbb68c-00b9-4a19-9e07-d98189caa409.png
2,18.0,40.27777777777778,78.1,19.4,36.2,53.6%,8.9,29.4,30.4%,12.5,17.1,73.3%,13.0,23.6,36.6,17.2,8.3,17.6,3.2,3.9,24.7,20.3,75.6,HAM,HAM,Hamburg Towers,https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png
3,18.0,40.55555555555556,76.3,19.0,38.3,49.6%,7.4,23.7,31.2%,16.2,21.2,76.4%,10.3,24.6,34.9,16.3,5.9,14.8,1.9,2.4,23.0,21.2,75.8,TSO,SOP,Trefl Sopot,https://media-cdn.incrowdsports.com/9ef7b3dd-9f80-4639-964d-9db4dfe436ee.png
4,18.0,40.27777777777778,79.2,21.0,38.4,54.7%,7.9,25.6,31%,13.4,18.0,74.4%,9.7,24.9,34.6,16.2,6.8,15.2,2.5,3.1,21.9,20.6,80.1,TRN,TRE,Dolomiti Energia Trento,https://media-cdn.incrowdsports.com/00c5cc07-732c-43c3-9d6e-5440594a25f8.png
5,19.0,40.26315789473684,85.3,20.2,37.7,53.6%,9.8,26.4,37.1%,15.5,21.3,72.8%,11.1,21.5,32.5,17.7,8.1,13.1,1.7,2.2,25.4,22.1,86.8,BES,BJK,Besiktas Istanbul,https://media-cdn.incrowdsports.com/791d8d03-da9c-4243-8342-ed6937f54762.png
6,18.0,40.27777777777778,79.5,20.9,37.0,56.6%,8.1,24.1,33.4%,13.4,18.3,73.3%,9.7,23.8,33.4,18.8,5.2,13.5,2.6,1.6,21.5,21.5,87.5,JOV,CJB,Club Joventut Badalona,https://media-cdn.incrowdsports.com/4867b9ca-abc6-48fd-a47f-011904a74bf8.png
7,25.0,40.4,79.0,19.5,34.4,56.6%,8.8,26.4,33.4%,13.5,17.0,79.3%,10.0,24.7,34.6,17.8,6.5,13.6,2.2,1.8,20.1,20.4,89.0,CAN,DGC,Club Baloncesto Gran Canaria,https://media-cdn.incrowdsports.com/a074edc1-e180-4515-a876-447884b570b1.png
8,18.0,40.55555555555556,82.6,20.8,37.8,55.1%,7.4,24.2,30.7%,18.6,24.5,76%,10.9,23.1,33.9,18.4,7.8,14.4,2.4,2.3,25.0,25.2,89.1,LKB,LIE,Lietkabelis Panevezys ,https://media-cdn.incrowdsports.com/dc1684fc-b1ad-494f-a7ed-54f5998fcb36.png
9,18.0,40.55555555555556,87.2,19.7,36.4,54%,10.5,28.4,37%,16.4,21.4,76.4%,12.1,22.5,34.6,18.6,7.7,14.8,2.2,2.8,23.7,20.0,89.4,ULM,ULM,ratiopharm Ulm,https://media-cdn.incrowdsports.com/497dc717-214d-4c03-8c67-0c4870278aa0.png
10,20.0,40.0,79.6,17.7,33.4,53%,8.8,25.6,34.4%,17.8,22.2,80%,9.2,25.7,35.0,16.5,6.2,13.8,4.8,1.8,22.3,22.2,89.5,TTK,TTA,Turk Telekom Ankara,https://media-cdn.incrowdsports.com/4ba35608-54ca-4800-a59c-f2571e6f8e13.png
