playerRanking,games_played,gamesStarted,minutes,points,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,turnovers,blocks,blocksAgainst,personal_fouls,foulsDrawn,pir,player.code,player_name,player.age,player.imageUrl,team,player.team.tvCodes,team_name,player.team.imageUrl
1,70.0,4.0,6.75547619047619,1.0,0.1,0.4,14.3%,0.2,0.8,28.1%,0.2,0.3,63.6%,0.2,0.2,0.4,0.7,0.1,0.4,0.0,0.0,1.2,0.3,-0.1,007265,"KURUCS, ARTURS",22,https://media-cdn.incrowdsports.com/b98c88da-6556-46e0-981a-106d466b7a22.png,BAS,TDS,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
2,48.0,18.0,11.868402777777776,1.4,0.3,0.7,44.1%,0.2,0.6,32.3%,0.2,0.4,42.9%,0.1,0.8,0.9,0.5,0.3,0.6,0.0,0.0,1.9,0.6,0.1,AWH,"ABI, MUSTAFA",29,,ULK;IST,ULK;EFS,Fenerbahce Beko Istanbul;Anadolu Efes Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png;https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
3,51.0,7.0,10.283006535947711,2.0,0.5,0.9,48.9%,0.3,1.2,26.7%,0.1,0.4,30%,0.4,0.6,1.0,0.5,0.2,0.5,0.0,0.2,1.3,0.5,0.6,BOG,"KING, ALEX",35,https://media-cdn.incrowdsports.com/0870abba-08a6-4ce4-a78b-bb6863e108fd.png,FRA;BER;MUN,FRA;ALB;BAY,Skyliners Frankfurt;ALBA Berlin;FC Bayern Munich,https://media-cdn.incrowdsports.com/75c69af8-9cf4-498d-932e-0b28be2444df.png;https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png;https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
4,82.0,17.0,11.647764227642277,2.6,0.2,0.6,36%,0.6,1.8,33.3%,0.3,0.4,78.1%,0.3,0.8,1.1,0.9,0.6,0.8,0.1,0.1,2.7,0.8,0.9,JJY,"BOZIC, PETAR",33,,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
5,48.0,25.0,12.159722222222221,1.8,0.7,1.8,41.2%,0.0,0.2,16.7%,0.2,0.4,42.1%,0.4,1.0,1.5,0.5,0.4,0.4,0.0,0.2,1.7,0.6,0.9,001209,"SZCZOTKA, PIOTR",31,,SOP,PRO,Arka Gdynia,https://media-cdn.incrowdsports.com/210fa2fa-3529-400d-8d3f-9174a22ad1a8.png
6,33.0,3.0,10.664141414141415,3.7,0.7,1.7,42.9%,0.6,1.6,40.4%,0.3,0.6,50%,0.5,0.8,1.4,0.5,0.3,0.8,0.0,0.1,2.4,0.7,1.1,AQX,"SCHULTZE, SVEN",34,,MIL;BER,MIL;BER,EA7 Emporio Armani Milan;ALBA Berlin,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png;https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
7,28.0,8.0,12.281547619047618,3.1,0.6,1.5,38.1%,0.4,1.6,23.9%,0.8,1.3,56.8%,0.2,1.1,1.4,0.7,0.6,1.4,0.0,0.2,1.7,1.5,1.2,001235,"KLOBUCAR, JAKA",23,https://media-cdn.incrowdsports.com/b1af6065-2555-4faf-a207-4bcaca7d3a77.png,LJU;PAR,LJU;PAR,KK Cedevita Olimpija;Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png;https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
8,25.0,8.0,8.770666666666667,1.8,0.4,0.5,76.9%,0.2,0.9,26.1%,0.3,0.4,70%,0.1,0.5,0.6,0.6,0.2,0.6,0.0,0.0,0.9,0.6,1.2,000092,"PRINC, VEDRAN",27,,CIB,CIB,KK Cibona,https://media-cdn.incrowdsports.com/2bc7884a-4fe7-4362-9d4f-ba2ad8a0239d.png
9,36.0,2.0,8.447685185185186,1.4,0.3,0.7,41.7%,0.2,0.6,30.4%,0.2,0.4,60%,0.2,0.6,0.9,0.4,0.2,0.3,0.1,0.1,1.0,0.6,1.3,KLS,"GUBANOV, PETR",32,https://media-cdn.incrowdsports.com/81a50da6-f1f9-4c3a-8b9d-716228de3b92.png,UNK;KHI,UNK;KHI,UNICS Kazan;BC Khimki,https://media-cdn.incrowdsports.com/70b00b96-e98a-42ba-9997-39d70a895157.png;https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png
10,67.0,13.0,12.70049751243781,2.8,0.3,0.6,51.2%,0.6,1.8,34.7%,0.3,0.5,59.4%,0.6,0.9,1.5,0.4,0.3,0.3,0.1,0.2,2.1,0.6,1.3,004170,"BATUK, BIRKAN",28,https://media-cdn.incrowdsports.com/a0a94e47-8163-45c3-8ec7-3a147df45609.png,DAR;IST,DDI;EFS,Darussafaka Basketbol;Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/9ceb124a-7ee1-4db5-8d8c-7d485980b989.png;https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
11,32.0,0.0,5.997395833333333,1.7,0.6,1.1,58.8%,0.1,0.3,22.2%,0.3,0.4,64.3%,0.6,0.6,1.2,0.3,0.2,0.3,0.1,0.1,1.3,0.5,1.3,THY,"MILOSEVIC, STRAHINJA",24,,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
12,75.0,16.0,7.233333333333333,2.1,0.5,0.9,60.3%,0.2,0.7,30.9%,0.3,0.4,65.6%,0.3,0.6,0.9,0.3,0.3,0.3,0.0,0.1,1.1,0.6,1.6,011209,"KALAITZAKIS, PANAGIOTIS",26,https://media-cdn.incrowdsports.com/59c8e70a-6d80-4d8c-9382-162194e226d0.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
13,41.0,1.0,9.401219512195121,1.8,0.3,0.6,44%,0.3,0.9,36.8%,0.3,0.4,68.8%,0.1,0.9,1.0,0.5,0.3,0.3,0.0,0.1,1.0,0.5,1.6,000118,"TADDA, KARSTEN",27,,BAM,BRO,Bamberger Basketball GmbH,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png
14,28.0,2.0,7.526785714285714,1.6,0.5,1.5,36.6%,0.0,0.1,0%,0.5,0.6,83.3%,0.6,0.8,1.3,0.2,0.1,0.4,0.3,0.0,0.9,0.5,1.6,BDM,"SILINSKIS, DARIUS",22,,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
15,156.0,27.0,13.277029914529916,2.8,0.2,0.6,40.6%,0.7,2.0,33.4%,0.2,0.3,87.8%,0.3,0.7,0.9,0.7,0.4,0.4,0.0,0.1,1.7,0.9,1.7,007025,"MATTISSECK, JONAS",24,https://media-cdn.incrowdsports.com/f233c467-32fb-41af-807b-07660af5fa2c.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
16,74.0,25.0,12.743918918918919,2.2,0.7,1.2,57.1%,0.2,0.5,34.2%,0.3,0.4,84.6%,0.7,1.1,1.8,0.4,0.3,0.2,0.0,0.1,2.2,0.6,1.9,004720,"LAZAREVIC, STEFAN",27,https://media-cdn.incrowdsports.com/ae23bbbe-9a8b-44dc-8ac6-dc99ce56be59.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
17,35.0,2.0,12.228571428571428,2.5,0.5,1.6,32.1%,0.3,1.0,28.6%,0.6,0.9,67.7%,0.2,0.9,1.1,1.5,0.6,1.3,0.0,0.1,1.4,1.1,2.0,DIN,"D'ALMEIDA, XANE",23,,PAU,PAU,Elan Bearnais Pau-Lacq-Orthez,https://media-cdn.incrowdsports.com/4550b11c-3680-44b2-a512-f0b4ff304b59.png
18,59.0,10.0,12.824293785310735,2.9,0.7,1.5,42.9%,0.2,0.8,22.4%,1.0,1.2,85.9%,0.2,0.9,1.1,1.0,0.5,0.7,0.0,0.1,2.2,1.3,2.1,KXO,"GIACHETTI, JACOPO",29,,ROM;MIL,ROM;EAM,Pallacanestro Virtus Roma;EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/e5836b62-9939-4063-b5e5-cc2f5804c142.png;https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
19,150.0,40.0,10.245555555555555,2.6,0.6,1.2,50.6%,0.4,1.1,35.7%,0.3,0.4,67.2%,0.6,0.9,1.4,0.4,0.3,0.3,0.3,0.1,1.6,0.5,2.1,004941,"ANTONOV, SEMEN",32,https://media-cdn.incrowdsports.com/5fd80688-4e9c-434c-b051-1471ccdcb625.png,NOV;CSK,NIZ;CSK,BC Nizhny Novgorod;CSKA Moscow,https://media-cdn.incrowdsports.com/dddcfb2d-29ff-4588-a297-654b4cd72c68.png;https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png
20,82.0,12.0,12.64471544715447,2.9,0.6,1.7,35.5%,0.4,1.4,30.2%,0.4,0.6,66%,0.4,1.0,1.3,1.6,0.5,1.0,0.1,0.1,2.4,1.5,2.1,003240,"BOCHORIDIS, ELEFTHERIOS",28,https://media-cdn.incrowdsports.com/e6713ba7-ff50-491b-925f-0097774e28ad.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
21,166.0,29.0,9.504317269076305,1.7,0.5,1.1,48.6%,0.2,0.5,34.8%,0.1,0.2,50%,0.5,0.7,1.2,1.0,0.6,0.4,0.1,0.1,1.4,0.5,2.2,003521,"BALBAY, DOGUS",33,https://media-cdn.incrowdsports.com/0a0748cc-b881-47d6-a8ff-19a51b692cb0.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
22,55.0,8.0,11.075757575757574,3.4,0.5,1.1,44.3%,0.7,1.6,46.1%,0.2,0.2,83.3%,0.1,0.7,0.8,0.4,0.3,0.4,0.0,0.0,1.3,0.4,2.2,LMK,"CARRARETTO, MARCO",35,,SIE,MPS,Montepaschi Siena,https://media-cdn.incrowdsports.com/1d94a55f-b8c7-459c-951e-8177f5f3eebe.png
23,59.0,11.0,12.254802259887006,2.6,0.5,1.2,43.7%,0.3,1.4,25%,0.5,0.7,74.4%,0.2,0.5,0.6,2.0,0.3,1.1,0.0,0.0,1.8,1.5,2.2,LKY,"KHVOSTOV, DMITRY",31,https://media-cdn.incrowdsports.com/409460e8-d94e-4f85-887d-9e72dbeb03bc.png,DYN;KHI;NOV;DYR,DYN;KHI;NIZ;ZEN,Dynamo Moscow;BC Khimki;BC Nizhny Novgorod;Zenit St Petersburg,https://media-cdn.incrowdsports.com/22ab0314-9deb-407c-97aa-4032f4017564.png;https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png;https://media-cdn.incrowdsports.com/dddcfb2d-29ff-4588-a297-654b4cd72c68.png;https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png
24,229.0,134.0,17.543231441048036,3.3,0.6,1.3,46.1%,0.6,1.6,33.8%,0.4,0.6,78.7%,0.5,1.0,1.5,0.6,0.7,0.5,0.1,0.1,2.6,1.1,2.2,LUO,"LAZIC, BRANKO",35,https://media-cdn.incrowdsports.com/6dcc04d5-821e-4113-a665-029a43d76425.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
25,78.0,20.0,15.077564102564102,3.9,1.0,2.2,43.9%,0.5,1.6,28.9%,0.6,0.8,73%,0.3,1.0,1.4,0.8,0.6,1.0,0.1,0.1,2.2,1.4,2.2,001389,"VORONOV, EVGENY",34,https://media-cdn.incrowdsports.com/5ea13ad3-ab46-462b-87e3-5155aec20269.png,CSK;TIV;UNK;DYR;KHI,CSK;LOK;UNK;ZEN;KHI,CSKA Moscow;Lokomotiv Kuban;UNICS Kazan;Zenit St Petersburg;BC Khimki,https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png;https://media-cdn.incrowdsports.com/10d99d78-4206-411d-83d2-db7abc63c6ae.png;https://media-cdn.incrowdsports.com/70b00b96-e98a-42ba-9997-39d70a895157.png;https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png;https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png
26,55.0,8.0,14.552727272727273,4.9,0.8,2.0,40.5%,0.8,2.1,36.8%,0.9,1.1,84.7%,0.5,1.3,1.9,0.2,0.4,0.8,0.3,0.2,2.7,1.1,2.3,AON,"KRASIC, BARISA",29,,CIB,CIB,KK Cibona,https://media-cdn.incrowdsports.com/2bc7884a-4fe7-4362-9d4f-ba2ad8a0239d.png
27,27.0,9.0,15.937037037037037,5.4,2.2,4.9,45%,0.1,0.6,12.5%,0.8,1.3,61.8%,1.0,2.0,3.0,0.3,0.4,1.6,0.4,0.3,2.9,1.3,2.3,LNY,"SAMNICK, VICTOR",32,,ASV;NAN,ASV;SLU,LDLC ASVEL Villeurbanne;Stade Lorrain Universite Club Nancy Basket,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png;https://media-cdn.incrowdsports.com/c14fdcc4-5076-49e3-85e9-32d2eaa2c67b.png
28,36.0,18.0,21.397222222222222,5.4,1.2,2.9,40.6%,0.8,2.8,28.3%,0.7,1.1,66.7%,0.8,1.9,2.7,0.6,0.8,1.0,0.0,0.2,2.8,1.0,2.4,ARB,"GARRIS, STEFANO",24,,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
29,57.0,12.0,11.276315789473685,3.5,0.9,1.9,48.6%,0.3,1.7,19.4%,0.6,0.9,67.3%,0.8,1.6,2.5,0.3,0.4,0.4,0.2,0.2,2.2,1.0,2.4,004429,"AGRAVANIS, DIMITRIS",28,https://media-cdn.incrowdsports.com/3d98a249-0b03-46bf-a720-f3a83467c405.png,OLY;PAN,OLY;PAO,Olympiacos Piraeus;Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
30,73.0,6.0,9.65,3.7,0.1,0.4,34.6%,1.1,2.8,40.6%,0.1,0.2,72.7%,0.2,0.7,0.9,0.4,0.2,0.2,0.0,0.0,0.9,0.3,2.4,002506,"STAIGER, LUCCA",29,https://media-cdn.cortextech.io/cd656e6b-919e-42ee-8988-892b52b73938.png,MUN;BAM,BAY;BRO,FC Bayern Munich;Bamberger Basketball GmbH,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png;https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png
