player.name,price
"VEZENKOV, SASHA",16.00
"MICIC, VASILIJE",15.70
"NUNN, KENDRICK",15.60
"MIROTIC, NIKOLA",15.50
"SHENGELIA, TORNIKE",15.50
"LESSORT, MATHIAS",15.40
"MONEKE, CHIMA",15.30
"JAMES, MIKE",15.20
"LEDAY, ZACH",15.20
"TAVARES, WALTER",15.00
"CAMPAZZO, FACUNDO",15.00
"JONES, CARLIK",14.90
"JONES, TYRIQUE",14.50
"SHORTS, TJ",14.30
"HOARD, JAYLEN",14.30
"FRANCISCO, SYLVAIN",14.10
"EDWARDS, CARSEN",14.10
"HERNANGOMEZ, JUANCHO",14.00
"WALKER IV, LONNIE",14.00
"HEZONJA, MARIO",13.90
"SHIELDS, SHAVON",13.80
"LARKIN, SHANE",13.60
"PUNTER, KEVIN",13.50
"MOTLEY, JONATHAN",13.50
"MALEDON, THEO",13.30
"OKEKE, CHUMA",13.30
"MUSA, DZANAN",13.20
"CLYBURN, WILL",13.00
"BRYANT, ELIJAH",13.00
"FOURNIER, EVAN",13.00
"THEIS, DANIEL",13.00
"BOSTON, BRANDON",12.90
"KEENAN, EVANS",12.80
"POIRIER, VINCENT",12.80
"HALL, DONTA",12.80
"HERNANGOMEZ, WILLY",12.70
"HOLMES, RICHUAN",12.70
"SLOUKAS, KOSTAS",12.60
"JOKUBAITIS, ROKAS",12.60
"BOLOMBOY, JOEL",12.50
"BOOKER, DEVIN",12.50
"MILUTINOV, NIKOLA",12.40
"DE COLO, NANDO",12.40
"BRISSETT, OSHAE",12.40
"MILTON, SHAKE",12.40
"PETRUSEV,FILIP",12.30
"OKOBO, ELIE",12.20
"PARKER, JABARI",12.10
"KABENGELE, MFIONDU",12.10
"OSMAN, CEDI",12.10
"GABRIEL, WENYEN",12.00
"NEBO, JOSH",12.00
"MONTERO, JEAN",12.00
"GRAHAM, DEVONTE",12.00
"DOWTIN JR., JEFF",12.00
"LYLES, TREY",12.00
"JONES, CHRIS",11.80
"BACON, DWAYNE",11.70
"GUDURIC, MARKO",11.50
"ROBINSON, JUSTIN",11.50
"BACOT, ARMANDO",11.50
"NORRIS, MILES",11.40
"LEAF, T.J",11.40
"LAPROVITTOLA, NICOLAS",11.30
"CANCAR, VLATKO",11.20
"VESELY, JAN",11.10
"THOMPSON, DARIUS",11.00
"HIFI, NADIR",11.00
"SWIDER, COLE",10.90
"DIALLO, ALPHA",10.80
"CORDINIER, ISAIA",10.80
"JONES, KAI",10.80
"DECK, GABRIEL",10.70
"SEDEKERSKIS, TADAS",10.70
"BROWN, LORENZO",10.60
"FALL, MOUSTAPHA",10.60
"COSTELLO, MATTHEW",10.60
"MILLER-MCINTYRE, CODI",10.50
"PETERS, ALEC",10.50
"WRIGHT, MOSES",10.50
"OJELEYE, SEMI",10.50
"DIALLO, HAMIDOU",10.50
"CABOCLO, BRUNO",10.40
"BROWN, STERLING",10.40
"WEILER-BABB, NICK",10.40
"WRIGHT, MCKINLEY",10.40
"BALDWIN IV, WADE",10.30
"NWORA, JORDAN",10.30
"OTURU, DAN",10.30
"SAKO, NEAL",10.30
"SORKIN, ROMAN",10.20
"ENNIS, TYLER",10.20
"SATORANSKY, TOMAS",10.10
"RIVERO, JASIEL",10.10
"PRADILLA, JAIME",10.10
"TAYLOR, BRANDON",10.10
"GRANT, JERIAN",10.10
"ATAMAN, ERGIN",10.00
"WILLIAMS-GOSS, NIGEL",10.00
"SAMANIC, LUKA",10.00
"STEVENS, LAMAR",10.00
"MOORE, OMARI",10.00
"DIAKITE, MAMADI",10.00
"FORREST, TRENT",9.90
"KALINIC, NIKOLA",9.90
"SELJAAS, ZAC",9.90
"WARD, TYSON",9.80
"LO, MAODO",9.80
"ASTON JR., DERRICK",9.80
"DIARRA, ALIOU",9.80
"WATSON, GLYNN",9.80
"VILDOZA, LUCA",9.70
"WILBEKIN, SCOTTIE",9.70
"MASON, NATE",9.70
"HOWARD, MARKUS",9.60
"MADAR, YAM",9.60
"HUERTEL, THOMAS",9.60
"MELLI, NICOLO",9.50
"RATHAN-MAYES, XAVIER",9.50
"BARTZOKAS, GEROGIOS",9.50
"OSETKOWSKI, DYLAN",9.50
"LOPEZ-AROSTEGUI, XABI",9.40
"BERTANS, DAVIS",9.40
"COLSON, BONZIE",9.30
"CLARK III, JIMMY",9.30
"CARTER, TYSON",9.30
"NTILIKINA FRANK",9.20
"WALKUP, THOMAS",9.20
"VOIGTMANN, JOHANNES",9.20
"GINAT, TOMER",9.20
"BLAKENEY, ANTONIO",9.20
"LOYD, JORDAN",9.10
"TAYLOR, KAMERON",9.10
"MITOGLOU, KONSTANTINOS",9.00
"JANTUNEN, MIKAEL",9.00
"SCARIOLO, SERGIO",9.00
"SMAILAGIC, ALEN",9.00
"ODIASE, TAI",9.00
"JALLOW, KARIM",9.00
"DOZIER JR, PERRY",9.00
"BONGA ISAAC",8.80
"SLEVA, DUSTIN",8.80
"YURTSEVEN, OMER",8.80
"LEE, SABEN",8.80
"BADIO, BRANCOU",8.70
"M'BAYE, AMATH",8.70
"MICHINEAU, DAVID",8.60
"WASHINGTON, DUANE",8.50
"ULANOVAS, EDGARAS",8.50
"LUWAWU-CABARROT, TIMOTHÈ",8.50
"BOLMARO, LEANDRO",8.50
"SPANOULIS, VASILIS",8.50
"JASIKEVICIUS, SARAS",8.50
"WAINRIGHT, ISH",8.50
"ITOUDIS, DIMITRIS",8.50
"AYAYI, JOEL",8.50
"IZUNDU, EBUKA",8.50
"DORSEY, TYLER",8.40
"TUBELIS, AZOULAS",8.40
"PAPAGIANNIS, GERORGIOS",8.30
"NEDOVIC, NEMANJA",8.30
"BRAZDEIKIS, IGNAS",8.30
"BAKO, ISMAEL",8.30
"MORGAN, MATTHEW",8.20
"WILLIS, DEREK",8.20
"BLOSSOMGAME, JARON",8.20
"GRIGONIS, MARIUS",8.20
"HALL, DEVON",8.20
"BIBEROVIC, TARIK",8.20
"BLATT, TAMIR",8.20
"GARUBA, USMAN",8.10
"PAPANIKOLAU, KOSTAS",8.10
"BRIZUELA, DARIO",8.10
"MORGAN, JEREMY",8.10
"PENARROYA, JOAN",8.00
"SPAGNOLO, MATTEO",8.00
"KOKOSKOV, IGOR",8.00
"KAMENJAS, KENAN",8.00
"CALE, MYLES",8.00
"FERNANDO, BRUNO",8.00
"FRISCH, CLEMENT",8.00
"TRAORE, ARMEL",8.00
"KRAMER, DAVID",8.00
"DOKOSSI, ALLAN",7.90
"SIRVYDIS, DEIVIDAS",7.80
"AVRAMOVIC, ALEKSA",7.80
"PREPELIC, KLEMEN",7.80
"FAYE, MOUHAMED",7.80
"MALCOLM, COLLIN",7.70
"ROGAKAVOPOULOS, NIKOS",7.70
"PLAVSIC, UROS",7.70
"MANNION, NICCOLO",7.70
"ABASS, AWUDU",7.70
"ANDERSON, JUSTIN",7.60
"BEAUBOIS, RODRIGUE",7.60
"DESSERT, BRICE",7.60
"BROOKS, ARMONI",7.50
"FALL, YOUSSOUPHA",7.50
"LUNDBERG, IFFE",7.50
"PROCIDA, GABRIELE",7.50
"MESSINA, ETTORE",7.50
"TOLIOPOULOS, VASSILIS",7.50
"JESSUP, JUSTINIAN",7.50
"MAKOUNDOU, YOAN",7.50
"HAPP, ETHAN",7.50
"CALATHES, NICK",7.40
"MCKISSIC, SHAQUIELLE",7.40
"MARINKOVIC, VANJA",7.40
"NIANG, SALIOU",7.40
"FELIZ, ANDRES",7.40
"MIKE, ISIAHA",7.30
"HAYES, KEVARRIUS",7.30
"PAJOLA, ALESSANDRO",7.30
"DIOUF, MOUHAMET",7.30
"MASSA, BODIAN",7.30
"NUNEZ, JUAN",7.20
"ZAGARS, ARTURS",7.20
"JAITEH, MAM",7.20
"TRIFUNOVIC, UROS",7.20
"SIMA, YANKUBA",7.20
"BALDWIN, KAMAR",7.10
"HOMMES, DAULTON",7.10
"STRAZEL, MATTHEW",7.10
"BIRCH, KHEM",7.10
"MOTIEJUNAS, DONATAS",7.00
"SMITS, ROLANDS",7.00
"SFAIROPOULOS, IOANNIS",7.00
"KATTASH, ODED",7.00
"ELLIS, QUINN",7.00
"JOVIC, STEFAN",7.00
"BITIM, ONURALP",7.00
"GOLEMAC, JURICA",7.00
"VAUTIER, BASTIEN",7.00
"REUVERS, NATHAN",7.00
"SANTOS, MARCIO",6.90
"KURUCS, RODIONS",6.90
"PARRA, JOEL",6.80
"ALMANSA, IZAN",6.80
"HAZER, SEHMUS",6.70
"GIEDRAITIS, DOVYDAS",6.60
"BIRUTIS, LAURYNAS",6.60
"OBST, ANDREAS",6.50
"NDIAYE, MBAYE",6.50
"CANAAN, ISAIAH",6.50
"IVANOVIC, DUSKO",6.50
"MASIULIS, TOMAS",6.50
"MARTINEZ, PEDRO",6.50
"PUERTO, JOSEP",6.50
"DE LARREA, SERGIO",6.50
"ANDJUSIC, DANILO",6.50
"LAVY, GUR",6.50
"OSMANI, ERCAN",6.50
"BANGO, JILSON",6.40
"HACKETT, DANIEL",6.30
"DIOP, KHALIFA",6.30
"ABALDE, ALBERTO",6.10
"MARCOS, JUANI",6.10
"DUNSTON, BRYANT",6.00
"HERBERT, GORDON",6.00
"DIBARTOLOMEO, JOHN",6.00
"TABELLINI, FRANCESCO",6.00
"TONUT, STEFANO",6.00
"BUTKEVICIUS, ARNAS",6.00
"SESTINA, NATHAN",6.00
"NAKIC, MARIO",5.90
"OUATTARA, YAKUBA",5.80
"DA SILVA, OSCAR",5.70
"LLULL, SERGIO",5.60
"GIFFEY, NIELS",5.60
"GALBIATI, PAOLO",5.50
"HOLLATZ, JUSTUS",5.50
"HARRIS, ELIAS",5.50
"ANTETOKOUNMPO, KOSTAS",5.50
"TARPEY, TERRY",5.40
"LARENTZAKIS, GIANNOULIS",5.30
"YILMAZ, ERKAN",5.30
"RAYMAN, WILLIAM",5.30
"DIOP, OUSMANE",5.20
"AKELE, NICOLA",5.20
"CAVALIERE, LEOPOLD",5.10
"VILLAR, RAFA",5.10
"DOBRIC, OGNJEN",5.00
"LIGHTY, DAVID",5.00
"SHAHRVIN, ENZO",5.00
"RICCI, GIAMPAOLO",5.00
"PUPET, PIERRIC",5.00
"BLAYZER, OZ",5.00
"MUTAF, DAVID",5.00
"MILJENOVIC, STEFAN",5.00
"CANKA, ABRAMO",4.90
"FLACCADORI, DIEGO",4.80
"DANGUBIC, NEMANJA",4.80
"BEGARIN, JUHANN",4.50
"KRATZER, LEON",4.50
"HERRERA, SEBASTIAN",4.50
"MAHMUTOGLU, MELIH",4.50
"ILIC, DALIBOR",4.50
"LAKIC, ARIJAN",4.30
"JACKSON, EDWIN",4.20
"DIRSEN, METECAN",4.20
"RAVENA, THIRDY",4.20
"KOUZELOGLOU, IOANNIS",4.20
"KALAITZAKIS, PANAGIOTIS",4.10
"BOSNJAKOVIC, MITAR",4.00
"YILDIZLI, BURAKCAN",4.00
"MESTOGLU, YIGIT HAMZA",4.00
"EKSIOGLU, MERT",4.00
"PALATIN, GUY",4.00
"SAMODUROV, ALEXANDROS",4.00
"TIMOR, BAR",4.00
"STOJKOVIC, LAZAR",4.00
"RADOSIC, OGNJEN",4.00
"ZIV, IFTACH",4.00
"SEGEV, ITAY",4.00
"NETZIPOGLOU, OMIROS",4.00
"MOUNGALLA, ILIAN",4.00
"ACCORSI, MATTEO",4.00
