playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,57.0,33.0,14.334795321637428,2.4,0.3,0.7,39%,0.5,1.3,40.8%,0.2,0.3,82.4%,0.5,0.7,1.2,0.4,0.5,0.4,0.0,0.1,2.4,0.7,1.2,LUO,"LAZIC, BRANKO",35,https://media-cdn.incrowdsports.com/6dcc04d5-821e-4113-a665-029a43d76425.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
2,71.0,8.0,12.70093896713615,2.8,0.2,0.6,37.2%,0.7,2.2,32.1%,0.2,0.2,93.8%,0.1,0.6,0.7,0.6,0.5,0.3,0.0,0.1,1.7,0.9,1.5,007025,"MATTISSECK, JONAS",24,https://media-cdn.incrowdsports.com/f233c467-32fb-41af-807b-07660af5fa2c.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
3,87.0,17.0,7.1432950191570885,2.1,0.5,0.9,59.7%,0.2,0.7,30.2%,0.4,0.5,73.8%,0.3,0.6,0.9,0.3,0.4,0.3,0.0,0.1,1.1,0.6,1.8,011209,"KALAITZAKIS, PANAGIOTIS",25,https://media-cdn.incrowdsports.com/59c8e70a-6d80-4d8c-9382-162194e226d0.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
4,83.0,22.0,11.285341365461846,2.5,0.4,0.7,59.3%,0.5,1.4,35.7%,0.2,0.2,81.2%,0.6,1.4,2.0,0.3,0.4,0.3,0.2,0.0,2.0,0.3,2.2,001518,"RICCI, GIAMPAOLO",33,https://media-cdn.incrowdsports.com/dc523b20-4e9c-4806-afa9-3993cbfb9d2f.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
5,86.0,48.0,10.702131782945736,2.9,0.7,1.2,57.9%,0.4,1.1,33%,0.4,0.4,91.9%,0.4,1.1,1.5,0.9,0.2,0.5,0.0,0.1,1.7,0.7,2.5,005145,"COHEN, JAKE",34,https://media-cdn.incrowdsports.com/e8d3f0dc-cce9-4329-9d5b-03c76519199d.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
6,96.0,52.0,12.718055555555557,4.1,0.8,1.5,54.6%,0.8,2.1,36.1%,0.2,0.3,78.6%,0.5,0.9,1.4,0.2,0.3,0.3,0.0,0.1,1.2,0.3,2.7,004197,"OUATTARA, YAKUBA",32,https://media-cdn.incrowdsports.com/3b0339f7-a2f5-4094-bb9c-2095f50d8194.png,MCO;PRS,ASM;PBB,AS Monaco;Paris Basketball,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png;https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
7,69.0,11.0,12.956280193236715,4.0,0.8,1.9,43.8%,0.5,1.8,27%,0.9,1.1,76.9%,0.3,0.8,1.0,1.5,0.4,0.8,0.0,0.1,1.8,1.5,3.1,004058,"JARAMAZ, OGNJEN",29,https://media-cdn.incrowdsports.com/f0031d55-9883-419a-ae1d-775c39ad4af8.png,MUN;PAR;BAS,BAY;PAR;BKN,FC Bayern Munich;Partizan Mozzart Bet Belgrade;Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png;https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png;https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
8,55.0,20.0,10.75848484848485,2.5,0.2,0.3,63.2%,0.7,1.5,43.4%,0.1,0.2,72.7%,0.4,1.6,1.9,0.5,0.3,0.2,0.0,0.0,1.0,0.3,3.2,003198,"DIEZ, DANIEL",30,https://media-cdn.incrowdsports.com/dd893939-b4ad-4ada-8173-0a55122c7248.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
9,63.0,35.0,10.967724867724868,2.7,0.6,1.1,57.1%,0.4,1.2,32%,0.3,0.4,71.4%,0.7,1.4,2.1,0.4,0.4,0.3,0.2,0.0,1.4,0.6,3.2,009213,"NDIAYE, ELI",20,https://media-cdn.incrowdsports.com/2ce6d0d0-375c-468c-8af4-40b1dfdcad00.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
10,76.0,41.0,17.928947368421053,4.6,1.1,2.4,45.1%,0.7,1.7,37.9%,0.5,0.6,88.1%,0.4,0.8,1.2,1.3,0.8,0.8,0.0,0.2,1.8,0.7,3.3,007513,"GIEDRAITIS, DOVYDAS",24,https://media-cdn.incrowdsports.com/8f1493eb-ebd5-4532-bc36-63e16ae94939.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
