playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,27.0,0.0,9.522222222222224,0.6,0.3,0.8,33.3%,0.0,0.0,0%,0.1,0.2,60%,0.9,1.4,2.4,0.2,0.3,0.8,0.3,0.0,2.6,0.3,0.1,004512,"KRATZER, LEON",27,https://media-cdn.incrowdsports.com/793aeb4c-04f2-4521-b544-50802f53c32f.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
2,29.0,5.0,13.328735632183909,2.4,0.2,0.7,36.8%,0.6,2.6,23%,0.2,0.2,85.7%,0.1,0.7,0.8,0.5,0.5,0.3,0.0,0.2,1.8,1.0,0.4,007025,"MATTISSECK, JONAS",24,https://media-cdn.incrowdsports.com/f233c467-32fb-41af-807b-07660af5fa2c.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
3,30.0,1.0,7.545555555555556,1.9,0.3,0.9,35.7%,0.3,0.9,33.3%,0.4,0.5,68.8%,0.2,1.0,1.3,0.3,0.1,0.5,0.3,0.1,1.2,0.5,1.2,011649,"GONZALEZ, HUGO",18,https://media-cdn.incrowdsports.com/0ab7dbc1-b9a7-4360-b004-2f3c68012071.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
4,23.0,0.0,7.017391304347826,2.9,0.8,1.4,59.4%,0.3,0.9,28.6%,0.4,0.7,58.8%,0.1,0.7,0.7,0.5,0.2,0.9,0.1,0.3,1.1,0.7,1.2,012123,"KHARCHENKOV, IVAN",18,https://media-cdn.incrowdsports.com/3eb9cca0-1820-4e97-9745-16e629bb9a89.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
5,32.0,10.0,7.355729166666666,1.8,0.5,0.9,55.2%,0.1,0.7,19%,0.4,0.6,72.2%,0.3,0.4,0.8,0.4,0.5,0.3,0.0,0.1,1.1,0.5,1.3,011209,"KALAITZAKIS, PANAGIOTIS",25,https://media-cdn.incrowdsports.com/59c8e70a-6d80-4d8c-9382-162194e226d0.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
6,22.0,0.0,10.112121212121211,2.0,0.4,1.4,29%,0.3,1.2,23.1%,0.3,0.5,63.6%,0.3,0.3,0.5,1.6,0.5,0.6,0.0,0.0,1.4,0.9,1.4,004058,"JARAMAZ, OGNJEN",29,https://media-cdn.incrowdsports.com/f0031d55-9883-419a-ae1d-775c39ad4af8.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
7,22.0,3.0,15.02727272727273,3.6,0.8,1.8,46.2%,0.5,2.2,25%,0.4,0.4,100%,0.4,1.1,1.5,0.6,0.2,0.5,0.0,0.2,1.7,0.9,1.8,000229,"JACKSON, EDWIN",35,https://media-cdn.incrowdsports.com/5985ad3d-5864-4d4b-82a1-c95c14ed8b85.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
8,24.0,11.0,8.936111111111112,3.3,0.3,0.7,43.8%,0.9,2.3,37.5%,0.1,0.2,50%,0.2,1.0,1.2,0.3,0.2,0.3,0.0,0.0,1.2,0.3,1.9,012715,"MANEK, BRADY",26,https://media-cdn.incrowdsports.com/a71d0828-d073-452d-802b-7a82e66b4f1e.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
9,27.0,13.0,11.079629629629629,3.5,0.9,1.4,60.5%,0.5,1.7,28.9%,0.3,0.4,75%,0.3,0.8,1.1,0.4,0.5,0.6,0.1,0.0,1.3,0.6,2.3,004007,"DOBRIC, OGNJEN",30,https://media-cdn.incrowdsports.com/a22ad126-7b94-446e-87f2-6ec6b8709388.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
10,26.0,6.0,10.573717948717949,2.8,0.8,1.4,59.5%,0.2,1.0,22.2%,0.5,0.8,57.1%,0.3,0.7,1.0,0.4,0.4,0.5,0.1,0.0,1.0,0.9,2.3,005161,"PAPAPETROU, IOANNIS",30,https://media-cdn.incrowdsports.com/34435fbb-b543-4cdd-84f6-62cf44448c88.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
