playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name
1,57.0,33.0,14.334795321637428,2.4,0.3,0.7,39%,0.5,1.3,40.8%,0.2,0.3,82.4%,0.5,0.7,1.2,0.4,0.5,0.4,0.0,0.1,2.4,0.7,1.2,LUO,"LAZIC, BRANKO"
2,71.0,8.0,12.70093896713615,2.8,0.2,0.6,37.2%,0.7,2.2,32.1%,0.2,0.2,93.8%,0.1,0.6,0.7,0.6,0.5,0.3,0.0,0.1,1.7,0.9,1.5,007025,"MATTISSECK, JONAS"
3,87.0,17.0,7.1432950191570885,2.1,0.5,0.9,59.7%,0.2,0.7,30.2%,0.4,0.5,73.8%,0.3,0.6,0.9,0.3,0.4,0.3,0.0,0.1,1.1,0.6,1.8,011209,"KALAITZAKIS, PANAGIOTIS"
4,83.0,22.0,11.285341365461846,2.5,0.4,0.7,59.3%,0.5,1.4,35.7%,0.2,0.2,81.2%,0.6,1.4,2.0,0.3,0.4,0.3,0.2,0.0,2.0,0.3,2.2,001518,"RICCI, GIAMPAOLO"
5,86.0,48.0,10.702131782945736,2.9,0.7,1.2,57.9%,0.4,1.1,33%,0.4,0.4,91.9%,0.4,1.1,1.5,0.9,0.2,0.5,0.0,0.1,1.7,0.7,2.5,005145,"COHEN, JAKE"
6,96.0,52.0,12.718055555555557,4.1,0.8,1.5,54.6%,0.8,2.1,36.1%,0.2,0.3,78.6%,0.5,0.9,1.4,0.2,0.3,0.3,0.0,0.1,1.2,0.3,2.7,004197,"OUATTARA, YAKUBA"
7,69.0,11.0,12.956280193236717,4.0,0.8,1.9,43.8%,0.5,1.8,27%,0.9,1.1,76.9%,0.3,0.8,1.0,1.5,0.4,0.8,0.0,0.1,1.8,1.5,3.1,004058,"JARAMAZ, OGNJEN"
8,55.0,20.0,10.75848484848485,2.5,0.2,0.3,63.2%,0.7,1.5,43.4%,0.1,0.2,72.7%,0.4,1.6,1.9,0.5,0.3,0.2,0.0,0.0,1.0,0.3,3.2,003198,"DIEZ, DANIEL"
9,63.0,35.0,10.967724867724868,2.7,0.6,1.1,57.1%,0.4,1.2,32%,0.3,0.4,71.4%,0.7,1.4,2.1,0.4,0.4,0.3,0.2,0.0,1.4,0.6,3.2,009213,"NDIAYE, ELI"
10,76.0,41.0,17.928947368421053,4.6,1.1,2.4,45.1%,0.7,1.7,37.9%,0.5,0.6,88.1%,0.4,0.8,1.2,1.3,0.8,0.8,0.0,0.2,1.8,0.7,3.3,007513,"GIEDRAITIS, DOVYDAS"
