playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name
69.0,39.0,28.0,18.87136752136752,5.9,1.1,1.9,58.9%,1.0,2.2,46%,0.6,0.7,88.5%,0.4,1.9,2.4,1.7,0.5,0.5,0.0,0.0,1.8,0.6,6.6,003733,"ABALDE, ALBERTO"
,,,,,,,,,,,,,,,,,,,,,,,,,,"ABASS, AWUDU"
30.0,37.0,18.0,17.006756756756758,4.5,0.4,0.8,50%,1.1,2.8,37.9%,0.6,0.6,91.3%,0.8,1.3,2.1,0.7,0.5,0.3,0.1,0.1,2.4,1.2,4.2,003478,"ABRINES, ALEX"
,,,,,,,,,,,,,,,,,,,,,,,,,,"ACCORSI, MATTEO"
16.0,27.0,11.0,14.42777777777778,5.4,0.6,1.2,50%,1.3,3.0,42.7%,0.4,0.4,90.9%,0.3,0.9,1.2,0.3,0.1,0.6,0.0,0.2,1.7,0.5,2.7,010316,"AJINCA, MELVIN"
,,,,,,,,,,,,,,,,,,,,,,,,,,"AKELE, NICOLA"
,,,,,,,,,,,,,,,,,,,,,,,,,,"ALMANSA, IZAN"
106.0,37.0,18.0,19.57072072072072,7.1,1.8,2.9,62.6%,0.8,2.0,41.3%,1.0,1.1,88.1%,0.7,2.1,2.8,1.4,0.7,0.5,0.3,0.1,1.8,1.1,8.5,012795,"ANDERSON, JUSTIN"
,,,,,,,,,,,,,,,,,,,,,,,,,,"ANDJUSIC, DANILO"
,,,,,,,,,,,,,,,,,,,,,,,,,,"ANTETOKOUNMPO, KOSTAS"
,,,,,,,,,,,,,,,,,,,,,,,,,,"ASTON JR., DERRICK"
,,,,,,,,,,,,,,,,,,,,,,,,,,"ATAMAN, ERGIN"
,,,,,,,,,,,,,,,,,,,,,,,,,,"AVRAMOVIC, ALEKSA"
,,,,,,,,,,,,,,,,,,,,,,,,,,"AYAYI, JOEL"
,,,,,,,,,,,,,,,,,,,,,,,,,,"BACON, DWAYNE"
,,,,,,,,,,,,,,,,,,,,,,,,,,"BACOT, ARMANDO"
,,,,,,,,,,,,,,,,,,,,,,,,,,"BADIO, BRANCOU"
,,,,,,,,,,,,,,,,,,,,,,,,,,"BAKO, ISMAEL"
136.0,27.0,13.0,24.224691358024693,11.1,3.0,6.3,47.6%,0.9,3.0,30.9%,2.3,2.9,79.7%,0.6,2.0,2.7,3.7,0.9,2.1,0.1,0.3,2.1,3.0,11.0,009863,"BALDWIN IV, WADE"
66.0,25.0,13.0,21.412,7.1,2.0,4.6,43%,0.8,2.6,30.3%,0.8,1.0,80%,0.2,1.5,1.7,3.7,0.9,0.9,0.2,0.2,2.4,1.0,6.4,012597,"BALDWIN, KAMAR"
,,,,,,,,,,,,,,,,,,,,,,,,,,"BANGO, JILSON"
,,,,,,,,,,,,,,,,,,,,,,,,,,"BARTZOKAS, GEROGIOS"
