team,Players,Avg_Fantasy,Total_Fantasy,Avg_Points,Avg_Rebounds,Avg_Assists
OLY,11,14.0,154.0,8.8,3.25,2.03
BAR,10,13.02,130.2,8.49,3.13,2.01
IST,9,12.73,114.6,8.31,2.77,1.93
PRS,8,12.56,100.5,8.35,3.01,1.64
PAN,13,12.49,162.4,8.08,2.96,1.48
ULK,10,11.81,118.1,8.06,2.8,1.48
PAR,9,11.6,104.4,7.79,2.61,1.64
MCO,11,11.42,125.6,7.38,2.63,1.6
BAS,12,11.3,135.6,7.3,2.93,1.72
ASV,15,11.25,168.8,7.5,2.86,1.68
TEL,10,11.17,111.7,7.5,2.89,1.36
MAD,15,11.15,167.2,7.09,2.76,1.77
VIR,11,11.09,122.0,7.25,2.63,1.74
RED,10,11.04,110.4,7.04,2.75,1.74
BER,13,10.64,138.3,6.96,2.84,1.5
MUN,8,10.4,83.2,7.56,2.41,1.32
PAM,10,10.21,102.1,6.83,2.64,1.46
MIL,10,9.76,97.6,6.8,2.41,1.16
ZAL,10,8.16,81.6,5.8,2.21,1.24
