playerRanking,games_played,gamesStarted,minutes,points,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,turnovers,blocks,blocks_against,personal_fouls,fouls_drawn,pir,player.code,player_name,age,player.imageUrl,team,player.team.tvCodes,team_name,player.team.imageUrl,base_fantasy_points,fantasy_points,fantasy_per_minute,captain_score,captain_fantasy_points,estimated_position,defensive_score,NAME_KEY,competition,gamesPlayed,minutesPlayed,pointsScored,totalRebounds,blocksAgainst,foulsCommited,foulsDrawn,player.name,player.age,player.team.code,player.team.name,captain_value,price,value_score
1,27.0,0.0,9.522222222222224,0.6,0.3,0.8,33.3%,0.0,0.0,0%,0.1,0.2,60%,0.9,1.4,2.4,0.2,0.3,0.8,0.3,0.0,2.6,0.3,0.1,004512,"KRATZER, LEON",27.0,https://media-cdn.incrowdsports.com/793aeb4c-04f2-4521-b544-50802f53c32f.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png,0.6999999999999997,0.6999999999999997,0.0735122520420069,5.942222222222223,1.3999999999999997,Forward,0.6,1,EuroLeague,,,,,,,,,,,,,,
2,44.0,10.0,7.567045454545454,1.4,0.2,0.4,52.6%,0.3,0.9,33.3%,0.1,0.1,80%,0.1,0.5,0.7,0.4,0.1,0.3,0.0,0.0,1.3,0.2,0.5,008850,"RAIESTE, SANDER",25.0,https://media-cdn.incrowdsports.com/32b9b901-2c92-4fcd-98b5-a3317eb8a89d.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png,1.2,1.2,0.1585823697251839,8.930037878787878,2.4,Forward,0.1,2,EuroLeague,,,,,,,,,,,,,,
3,36.0,2.0,7.023611111111111,1.7,0.3,0.8,37.9%,0.2,0.9,29%,0.4,0.5,72.2%,0.2,0.9,1.1,0.3,0.1,0.5,0.2,0.1,1.2,0.5,0.9,011649,"GONZALEZ, HUGO",18.0,https://media-cdn.incrowdsports.com/0ab7dbc1-b9a7-4360-b004-2f3c68012071.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,2.1,2.1,0.2989914969349416,8.17236111111111,4.2,Forward,0.3,3,EuroLeague,,,,,,,,,,,,,,
4,26.0,2.0,10.05448717948718,2.2,0.7,1.8,40.4%,0.1,0.7,11.8%,0.5,0.7,72.2%,0.2,0.6,0.7,1.3,0.3,0.7,0.0,0.3,1.5,0.9,1.0,011386,"YAACOV, NOAM",19.0,https://media-cdn.incrowdsports.com/39341c78-b2bf-4b2b-a2c7-a68fb5056d26.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,2.9000000000000004,2.9000000000000004,0.2884284348103283,7.368782051282052,5.800000000000001,Forward,0.3,4,EuroLeague,,,,,,,,,,,,,,
5,27.0,0.0,7.27716049382716,2.7,0.8,1.4,56.8%,0.3,1.1,24.1%,0.4,0.7,57.9%,0.1,0.6,0.8,0.6,0.2,0.8,0.1,0.3,1.1,0.7,1.1,012123,"KHARCHENKOV, IVAN",18.0,https://media-cdn.incrowdsports.com/3eb9cca0-1820-4e97-9745-16e629bb9a89.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,2.9,2.9,0.3985070828738655,7.257716049382715,5.8,Forward,0.3,5,EuroLeague,,,,,,,,,,,,,,
6,32.0,17.0,11.149479166666667,2.2,0.3,0.8,37.5%,0.4,1.3,33.3%,0.3,0.4,91.7%,0.5,0.8,1.2,0.3,0.3,0.3,0.0,0.0,2.0,0.7,1.1,LUO,"LAZIC, BRANKO",35.0,https://media-cdn.incrowdsports.com/6dcc04d5-821e-4113-a665-029a43d76425.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2.4000000000000004,2.4000000000000004,0.2152566917363479,8.12828125,4.800000000000001,Forward,0.3,6,EuroLeague,,,,,,,,,,,,,,
7,55.0,7.0,12.773333333333332,2.9,0.2,0.6,35.3%,0.7,2.3,31.5%,0.2,0.3,92.9%,0.1,0.6,0.7,0.5,0.4,0.3,0.0,0.1,1.8,1.1,1.4,007025,"MATTISSECK, JONAS",24.0,https://media-cdn.incrowdsports.com/f233c467-32fb-41af-807b-07660af5fa2c.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png,3.4,3.4,0.2661795407098121,12.824,6.8,Forward,0.4,7,EuroLeague,,,,,,,,,,,,,,
8,30.0,16.0,15.709444444444443,4.1,0.5,1.4,36.6%,0.8,2.9,27.9%,0.7,1.1,64.7%,0.3,1.0,1.3,0.7,0.3,0.7,0.0,0.2,1.5,0.8,1.6,012740,"ROBERTSON, KASSIUS",29.0,https://media-cdn.incrowdsports.com/5aa7f467-8fe2-45db-97e5-2fbff4d3a1b9.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png,4.799999999999999,4.799999999999999,0.3055486791385224,9.930944444444444,9.599999999999998,Forward,0.3,8,EuroLeague,,,,,,,,,,,,,,
9,62.0,10.0,6.670430107526881,1.9,0.6,0.9,62.1%,0.1,0.7,22%,0.3,0.4,80.8%,0.3,0.5,0.8,0.3,0.4,0.2,0.0,0.1,0.9,0.4,1.7,011209,"KALAITZAKIS, PANAGIOTIS",25.0,https://media-cdn.incrowdsports.com/59c8e70a-6d80-4d8c-9382-162194e226d0.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png,2.6,2.6,0.3897799629241557,12.82037634408602,5.199999999999999,Forward,0.4,9,EuroLeague,,,,,,,,,,,,,,
10,54.0,17.0,11.787654320987654,2.4,0.3,0.6,58.1%,0.6,1.5,37%,0.1,0.1,100%,0.5,1.4,1.9,0.3,0.3,0.2,0.2,0.0,2.0,0.3,1.9,001518,"RICCI, GIAMPAOLO",33.0,https://media-cdn.incrowdsports.com/dc523b20-4e9c-4806-afa9-3993cbfb9d2f.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,3.1999999999999997,3.1999999999999997,0.2714704650188521,12.418765432098764,6.399999999999999,Forward,0.5,10,EuroLeague,,,,,,,,,,,,,,
