playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,league,merge_key,index,player_name,price,full_name_prices
181.0,78.0,77.0,29.80363247863248,18.6,4.7,7.3,65%,1.9,5.1,38%,3.4,3.9,88.4%,1.7,5.0,6.7,1.9,0.9,1.0,0.2,0.3,1.5,3.1,22.6,003469,"VEZENKOV, SASHA",EuroLeague,VEZENKOV SASHA,VEZENKOV, SASHA,16.00,VEZENKOV SASHA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,MICIC VASILIJE,MICIC, VASILIJE,15.70,MICIC VASILIJE
168.0,75.0,66.0,29.25133333333333,18.2,4.2,8.2,51.6%,2.4,6.0,39.9%,2.5,2.8,89.6%,0.6,2.5,3.1,3.6,0.9,2.9,0.2,0.7,2.5,3.4,15.5,012774,"NUNN, KENDRICK",EuroLeague,NUNN KENDRICK,NUNN, KENDRICK,15.60,NUNN KENDRICK
179.0,80.0,76.0,26.320208333333333,16.6,3.2,5.4,58.9%,2.1,5.2,39.8%,4.0,4.7,85.4%,1.7,3.8,5.5,1.4,0.9,1.6,0.4,0.2,1.9,4.2,19.1,000796,"MIROTIC, NIKOLA",EuroLeague,MIROTIC NIKOLA,MIROTIC, NIKOLA,15.50,MIROTIC NIKOLA
172.0,84.0,73.0,26.11706349206349,13.5,3.9,7.3,53.6%,0.7,2.3,32.1%,3.4,4.3,79.5%,1.3,3.2,4.5,3.1,0.9,2.5,0.3,0.5,2.4,4.8,15.8,001133,"SHENGELIA, TORNIKE",EuroLeague,SHENGELIA TORNIKE,SHENGELIA, TORNIKE,15.50,SHENGELIA TORNIKE
180.0,98.0,68.0,29.053571428571427,13.0,4.7,7.1,66.1%,0.0,0.0,0%,3.7,5.6,65.5%,2.6,4.0,6.7,1.4,0.9,1.6,0.8,0.4,2.6,5.6,19.5,003842,"LESSORT, MATHIAS",EuroLeague,LESSORT MATHIAS,LESSORT, MATHIAS,15.40,LESSORT MATHIAS
171.0,83.0,37.0,23.778915662650604,11.9,3.1,5.0,61.3%,0.8,2.6,31.3%,3.3,4.1,79.5%,1.9,3.8,5.7,1.6,0.9,1.7,0.4,0.4,1.7,3.9,15.8,012201,"MONEKE, CHIMA",EuroLeague,MONEKE CHIMA,MONEKE, CHIMA,15.30,MONEKE CHIMA
178.0,118.0,118.0,30.437429378531075,16.6,3.5,7.7,45.9%,1.9,5.7,32.7%,4.0,5.1,78.1%,0.5,3.1,3.6,5.1,1.1,2.1,0.0,0.5,1.8,4.8,17.7,005985,"JAMES, MIKE",EuroLeague,JAMES MIKE,JAMES, MIKE,15.20,JAMES MIKE
169.0,102.0,79.0,29.586601307189543,12.6,3.1,5.8,53%,1.1,2.6,41.4%,3.3,3.7,88.9%,1.0,3.7,4.7,1.3,0.7,1.2,0.2,0.4,2.1,4.3,15.6,008987,"LEDAY, ZACH",EuroLeague,LEDAY ZACH,LEDAY, ZACH,15.20,LEDAY ZACH
173.0,114.0,108.0,23.760964912280706,10.3,4.1,6.0,67.6%,0.0,0.0,0%,2.2,2.9,75%,2.5,4.2,6.7,1.4,0.8,2.0,1.6,0.2,2.9,3.1,16.1,005791,"TAVARES, WALTER",EuroLeague,TAVARES WALTER,TAVARES, WALTER,15.00,TAVARES WALTER
177.0,85.0,76.0,25.843529411764703,12.1,2.4,4.1,57%,1.4,4.2,33.1%,3.2,3.7,86.7%,0.6,2.3,3.0,6.2,1.2,2.4,0.0,0.3,2.3,4.9,17.3,005928,"CAMPAZZO, FACUNDO",EuroLeague,CAMPAZZO FACUNDO,CAMPAZZO, FACUNDO,15.00,CAMPAZZO FACUNDO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,JONES CARLIK,JONES, CARLIK,14.90,JONES CARLIK
153.0,66.0,18.0,20.00757575757576,9.3,3.7,5.8,63.3%,0.0,0.0,0%,2.0,3.0,66.5%,2.3,2.8,5.1,1.0,0.9,1.2,0.5,0.3,2.6,3.0,12.7,011981,"JONES, TYRIQUE",EuroLeague,JONES TYRIQUE,JONES, TYRIQUE,14.50,JONES TYRIQUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHORTS TJ,SHORTS, TJ,14.30,SHORTS TJ
103.0,31.0,5.0,20.58010752688172,12.4,4.6,6.5,70%,0.2,0.5,35.7%,2.7,3.9,70.8%,1.7,3.4,5.1,0.8,1.0,0.8,0.5,0.3,1.8,2.3,15.7,006835,"HOARD, JAYLEN",EuroCup,HOARD JAYLEN,HOARD, JAYLEN,14.30,HOARD JAYLEN
157.0,67.0,18.0,22.43681592039801,12.6,1.8,4.0,45.7%,2.0,5.7,34.7%,3.0,3.9,77.5%,0.5,1.7,2.2,3.9,0.8,2.1,0.2,0.3,1.7,4.3,13.2,007975,"FRANCISCO, SYLVAIN",EuroLeague,FRANCISCO SYLVAIN,FRANCISCO, SYLVAIN,14.10,FRANCISCO SYLVAIN
113.0,103.0,63.0,22.397896440129447,13.3,2.8,5.6,49.4%,1.9,5.7,34.4%,2.0,2.2,90.2%,0.4,1.4,1.8,2.1,0.8,1.7,0.1,0.6,1.9,2.9,10.0,011987,"EDWARDS, CARSEN",EuroLeague,EDWARDS CARSEN,EDWARDS, CARSEN,14.10,EDWARDS CARSEN
130.0,71.0,34.0,22.55469483568076,7.5,1.5,2.8,55.3%,1.1,3.0,37.4%,1.0,1.5,67.9%,1.3,4.1,5.5,1.0,0.8,0.7,0.3,0.2,1.2,1.8,11.1,012712,"HERNANGOMEZ, JUANCHO",EuroLeague,HERNANGOMEZ JUANCHO,HERNANGOMEZ, JUANCHO,14.00,HERNANGOMEZ JUANCHO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,WALKER IV LONNIE,WALKER IV, LONNIE,14.00,WALKER IV LONNIE
149.0,115.0,46.0,23.60913043478261,13.0,2.6,4.7,55.8%,2.0,5.3,38.7%,1.6,1.9,83.7%,0.4,3.8,4.3,1.2,0.8,1.3,0.1,0.2,1.8,1.8,12.2,003108,"HEZONJA, MARIO",EuroLeague,HEZONJA MARIO,HEZONJA, MARIO,13.90,HEZONJA MARIO
161.0,67.0,64.0,27.96069651741293,13.0,2.6,4.8,54.8%,1.9,4.8,39.6%,2.1,2.6,78%,0.6,2.9,3.5,2.6,1.0,1.7,0.1,0.2,1.6,3.1,14.1,007831,"SHIELDS, SHAVON",EuroLeague,SHIELDS SHAVON,SHIELDS, SHAVON,13.80,SHIELDS SHAVON
176.0,80.0,52.0,29.105625,14.0,2.2,4.2,52.6%,2.3,5.8,39.1%,2.8,3.2,87.7%,0.2,2.4,2.7,4.8,1.1,2.0,0.0,0.3,1.3,4.0,17.2,007200,"LARKIN, SHANE",EuroLeague,LARKIN SHANE,LARKIN, SHANE,13.60,LARKIN SHANE
167.0,102.0,81.0,27.938235294117646,16.0,3.3,6.3,52%,2.0,4.9,39.8%,3.5,3.8,92.3%,0.3,2.0,2.3,2.7,1.1,1.7,0.1,0.4,2.4,3.9,15.3,009862,"PUNTER, KEVIN",EuroLeague,PUNTER KEVIN,PUNTER, KEVIN,13.50,PUNTER KEVIN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOTLEY JONATHAN,MOTLEY, JONATHAN,13.50,MOTLEY JONATHAN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALEDON THEO,MALEDON, THEO,13.30,MALEDON THEO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,OKEKE CHUMA,OKEKE, CHUMA,13.30,OKEKE CHUMA
165.0,114.0,83.0,22.25687134502924,13.5,2.8,4.9,57.8%,1.5,3.8,38.5%,3.5,4.2,83.4%,0.6,2.3,2.9,2.3,0.4,1.5,0.2,0.3,1.4,3.4,14.4,006540,"MUSA, DZANAN",EuroLeague,MUSA DZANAN,MUSA, DZANAN,13.20,MUSA DZANAN
175.0,83.0,59.0,30.028915662650604,14.8,3.3,6.6,50.2%,1.8,5.3,34.9%,2.7,3.3,81.5%,1.0,4.0,5.1,2.2,1.0,1.5,0.2,0.4,1.9,4.3,16.5,004888,"CLYBURN, WILL",EuroLeague,CLYBURN WILL,CLYBURN, WILL,13.00,CLYBURN WILL
146.0,96.0,63.0,24.1546875,10.9,2.7,5.2,52.4%,1.2,3.1,37.5%,1.9,2.2,88.4%,0.7,3.4,4.1,2.5,0.9,1.8,0.3,0.4,2.4,2.7,12.1,009846,"BRYANT, ELIJAH",EuroLeague,BRYANT ELIJAH,BRYANT, ELIJAH,13.00,BRYANT ELIJAH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOURNIER EVAN,FOURNIER, EVAN,13.00,FOURNIER EVAN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THEIS DANIEL,THEIS, DANIEL,13.00,THEIS DANIEL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSTON BRANDON,BOSTON, BRANDON,12.90,BOSTON BRANDON
,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEENAN EVANS,KEENAN, EVANS,12.80,KEENAN EVANS
145.0,108.0,41.0,18.340123456790124,8.3,3.3,5.0,65.4%,0.0,0.1,26.7%,1.6,2.3,71%,1.9,2.9,4.8,0.8,0.4,0.9,1.2,0.2,2.2,2.0,11.9,004887,"POIRIER, VINCENT",EuroLeague,POIRIER VINCENT,POIRIER, VINCENT,12.80,POIRIER VINCENT
138.0,113.0,24.0,17.81165191740413,7.0,2.7,3.8,72.8%,0.0,0.0,0%,1.5,2.2,67.7%,1.8,3.0,4.8,0.6,0.5,0.5,0.8,0.2,1.9,2.1,11.5,011196,"HALL, DONTA",EuroLeague,HALL DONTA,HALL, DONTA,12.80,HALL DONTA
143.0,72.0,10.0,16.047453703703706,9.7,3.6,6.0,60%,0.1,0.2,33.3%,2.3,3.3,69.5%,1.7,2.8,4.5,0.5,0.5,1.3,0.3,0.2,1.8,3.3,11.8,003196,"HERNANGOMEZ, WILLY",EuroLeague,HERNANGOMEZ WILLY,HERNANGOMEZ, WILLY,12.70,HERNANGOMEZ WILLY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOLMES RICHUAN,HOLMES, RICHUAN,12.70,HOLMES RICHUAN
164.0,109.0,17.0,23.50779816513761,10.9,1.8,3.5,53.2%,1.4,3.7,37.2%,3.1,3.4,90.1%,0.4,2.0,2.4,5.3,0.6,2.0,0.1,0.3,1.6,3.2,14.3,001926,"SLOUKAS, KOSTAS",EuroLeague,SLOUKAS KOSTAS,SLOUKAS, KOSTAS,12.60,SLOUKAS KOSTAS
93.0,103.0,26.0,17.66990291262136,7.3,2.3,4.4,51.9%,0.5,1.5,35.5%,1.2,1.5,79.5%,0.5,1.7,2.2,3.2,0.5,1.5,0.0,0.2,1.4,1.9,8.7,007519,"JOKUBAITIS, ROKAS",EuroLeague,JOKUBAITIS ROKAS,JOKUBAITIS, ROKAS, 12.60,JOKUBAITIS ROKAS
132.0,86.0,48.0,19.45949612403101,7.6,2.8,4.3,65.1%,0.2,0.5,35.9%,1.5,1.9,75.9%,2.1,3.2,5.3,0.6,0.6,1.0,0.6,0.2,2.0,2.1,11.3,009035,"BOLOMBOY, JOEL",EuroLeague,BOLOMBOY JOEL,BOLOMBOY, JOEL, 12.50,BOLOMBOY JOEL
128.0,87.0,68.0,24.49789272030652,10.0,3.0,5.4,56.1%,0.7,2.1,35.1%,1.7,2.1,80.2%,1.6,2.9,4.5,1.3,0.5,1.3,0.3,0.2,2.4,2.5,11.0,007056,"BOOKER, DEVIN",EuroLeague,BOOKER DEVIN,BOOKER, DEVIN,12.50,BOOKER DEVIN
166.0,56.0,8.0,19.01547619047619,8.0,2.9,4.8,59.5%,0.0,0.0,0%,2.3,2.7,83%,2.6,3.1,5.7,0.8,0.4,0.8,0.6,0.2,0.8,3.0,14.4,003941,"MILUTINOV, NIKOLA",EuroLeague,MILUTINOV NIKOLA,MILUTINOV, NIKOLA, 12.40,MILUTINOV NIKOLA
163.0,82.0,27.0,22.02947154471545,12.5,2.1,4.2,51.2%,1.7,4.3,39.2%,3.1,3.4,91.7%,0.2,1.8,2.0,4.0,0.9,2.5,0.0,0.4,1.5,3.9,14.1,002100,"DE COLO, NANDO",EuroLeague,DE COLO NANDO,DE COLO, NANDO,12.40,DE COLO NANDO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRISSETT OSHAE,BRISSETT, OSHAE, 12.40,BRISSETT OSHAE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILTON SHAKE,MILTON, SHAKE, 12.40,MILTON SHAKE
147.0,88.0,24.0,19.98617424242424,10.4,3.3,5.6,59.3%,0.4,1.4,30.7%,2.4,3.5,69.8%,1.3,3.2,4.5,1.0,0.5,1.1,0.6,0.3,2.1,3.0,12.2,011194,"PETRUSEV, FILIP",EuroLeague,PETRUSEV FILIP,PETRUSEV,FILIP, 12.30,PETRUSEV FILIP
144.0,113.0,18.0,25.36002949852508,12.0,2.7,5.4,50.7%,1.2,3.6,33.8%,2.9,3.5,84.7%,0.2,2.0,2.2,3.6,0.9,1.9,0.1,0.3,2.3,2.9,11.8,011212,"OKOBO, ELIE",EuroLeague,OKOBO ELIE,OKOBO, ELIE, 12.20,OKOBO ELIE
129.0,77.0,58.0,25.62965367965368,12.2,3.0,5.5,53.6%,1.6,4.3,38.2%,1.4,1.8,77.9%,1.0,3.1,4.1,1.2,0.7,1.3,0.3,0.2,1.9,1.6,11.0,012745,"PARKER, JABARI",EuroLeague,PARKER JABARI,PARKER, JABARI, 12.10,PARKER JABARI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,KABENGELE MFIONDU,KABENGELE, MFIONDU, 12.10,KABENGELE MFIONDU
,,,,,,,,,,,,,,,,,,,,,,,,,,,,OSMAN CEDI,OSMAN, CEDI, 12.10,OSMAN CEDI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,GABRIEL WENYEN,GABRIEL, WENYEN, 12.00,GABRIEL WENYEN
160.0,82.0,75.0,22.51849593495935,9.2,3.7,5.6,65.8%,0.0,0.0,0%,1.9,2.9,66.5%,2.6,3.9,6.5,0.6,0.5,0.9,0.7,0.2,1.9,2.3,14.0,011199,"NEBO, JOSH",EuroLeague,NEBO JOSH,NEBO, JOSH, 12.00,NEBO JOSH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONTERO JEAN,MONTERO, JEAN, 12.00,MONTERO JEAN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAHAM DEVONTE,GRAHAM, DEVONTE, 12.00,GRAHAM DEVONTE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOWTIN JR JEFF,DOWTIN JR., JEFF, 12,DOWTIN JR. JEFF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYLES TREY,LYLES, TREY, 12,LYLES TREY
159.0,61.0,57.0,24.47267759562841,13.0,3.4,6.6,51.2%,1.4,3.5,40.2%,2.0,2.4,85.4%,0.2,1.9,2.1,4.3,1.2,1.8,0.0,0.4,1.5,2.7,14.0,010568,"JONES, CHRIS",EuroLeague,JONES CHRIS,JONES, CHRIS, 11.80,JONES CHRIS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACON DWAYNE,BACON, DWAYNE, 11.70,BACON DWAYNE
135.0,111.0,39.0,22.474324324324325,10.8,2.0,3.5,57.9%,1.4,3.8,37.7%,2.4,2.7,86.8%,0.5,2.2,2.7,2.9,0.8,1.8,0.0,0.3,2.4,2.9,11.4,004004,"GUDURIC, MARKO",EuroLeague,GUDURIC MARKO,GUDURIC, MARKO, 11.50,GUDURIC MARKO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROBINSON JUSTIN,ROBINSON, JUSTIN, 11.5,ROBINSON JUSTIN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACOT ARMANDO,BACOT, ARMANDO, 11.50,BACOT ARMANDO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORRIS MILES,NORRIS, MILES, 11.40,NORRIS MILES
,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEAF T J,LEAF, T.J, 11.40,LEAF T.J
139.0,76.0,65.0,23.19298245614036,11.2,1.5,2.9,52.5%,2.1,5.2,40.7%,1.8,2.2,82%,0.6,1.5,2.1,4.7,0.6,2.2,0.0,0.2,2.5,2.8,11.5,006435,"LAPROVITTOLA, NICOLAS",EuroLeague,LAPROVITTOLA NICOLAS,LAPROVITTOLA, NICOLAS, 11.30,LAPROVITTOLA NICOLAS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCAR VLATKO,CANCAR, VLATKO, 11.20,CANCAR VLATKO
156.0,100.0,68.0,21.012166666666666,10.4,4.1,6.9,59.2%,0.1,0.2,39.1%,2.0,2.5,78.9%,1.4,2.6,4.0,1.5,1.0,1.1,0.4,0.2,2.4,2.7,12.8,000925,"VESELY, JAN",EuroLeague,VESELY JAN,VESELY, JAN, 11.10,VESELY JAN
155.0,108.0,90.0,26.41172839506173,10.9,2.7,5.0,54.1%,1.3,3.4,38.7%,1.6,2.0,79.3%,0.7,1.6,2.4,4.6,1.2,1.8,0.5,0.3,2.3,2.3,12.7,011078,"THOMPSON, DARIUS",EuroLeague,THOMPSON DARIUS,THOMPSON, DARIUS, 11.00,THOMPSON DARIUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIFI NADIR,HIFI, NADIR, 11.00,HIFI NADIR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWIDER COLE,SWIDER, COLE, 10.90,SWIDER COLE
141.0,114.0,58.0,26.04078947368421,10.9,3.2,5.7,55.6%,0.9,2.4,36.9%,1.9,2.6,73%,1.4,2.8,4.1,1.8,1.1,1.2,0.3,0.3,2.9,2.6,11.7,011226,"DIALLO, ALPHA",EuroLeague,DIALLO ALPHA,DIALLO, ALPHA, 10.80,DIALLO ALPHA
124.0,84.0,64.0,23.20297619047619,9.5,2.7,4.8,56.6%,0.8,2.6,28.9%,1.9,2.3,79.2%,0.8,2.7,3.5,2.9,0.8,1.7,0.3,0.1,2.6,2.6,10.8,009549,"CORDINIER, ISAIA",EuroLeague,CORDINIER ISAIA,CORDINIER, ISAIA, 10.80,CORDINIER ISAIA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,JONES KAI,JONES, KAI, 10.80,JONES KAI
140.0,87.0,53.0,23.629310344827587,9.8,3.0,4.7,64.4%,0.6,1.7,36.4%,1.9,2.3,80.3%,1.0,3.0,4.0,1.5,0.5,1.1,0.1,0.3,1.9,2.2,11.6,009005,"DECK, GABRIEL",EuroLeague,DECK GABRIEL,DECK, GABRIEL, 10.70,DECK GABRIEL
150.0,83.0,56.0,24.207831325301203,7.6,2.2,3.3,66.4%,0.6,1.5,40.2%,1.3,1.6,80.5%,1.4,4.0,5.4,1.4,0.5,0.8,0.2,0.3,1.2,1.9,12.3,007230,"SEDEKERSKIS, TADAS",EuroLeague,SEDEKERSKIS TADAS,SEDEKERSKIS, TADAS, 10.70,SEDEKERSKIS TADAS
148.0,111.0,84.0,25.1018018018018,11.8,3.1,6.4,48.7%,1.4,3.9,34.6%,1.6,1.8,87.1%,0.4,2.2,2.6,4.7,1.0,2.3,0.1,0.3,1.7,2.3,12.2,009622,"BROWN, LORENZO",EuroLeague,BROWN LORENZO,BROWN, LORENZO, 10.60,BROWN LORENZO
134.0,111.0,105.0,20.734384384384388,6.8,2.9,3.9,74.8%,0.0,0.0,0%,1.0,2.1,46.2%,1.5,2.7,4.2,2.1,0.4,1.2,0.9,0.2,2.1,2.6,11.4,008811,"FALL, MOUSTAPHA",EuroLeague,FALL MOUSTAPHA,FALL, MOUSTAPHA, 10.60,FALL MOUSTAPHA
120.0,67.0,18.0,21.10771144278607,9.5,2.3,3.5,65%,1.3,3.8,33.7%,1.1,1.6,70%,1.3,2.9,4.2,1.6,0.6,1.1,0.9,0.2,2.7,2.0,10.5,010444,"COSTELLO, MATTHEW",EuroLeague,COSTELLO MATTHEW,COSTELLO, MATTHEW, 10.60,COSTELLO MATTHEW
151.0,74.0,70.0,27.553603603603605,9.9,3.0,5.6,53.5%,0.9,3.0,29.9%,1.2,1.7,70.3%,0.6,3.2,3.8,6.0,0.8,2.4,0.0,0.5,2.2,2.3,12.6,009048,"MILLER-MCINTYRE, CODI",EuroLeague,MILLER MCINTYRE CODI,MILLER-MCINTYRE, CODI, 10.50,MILLER-MCINTYRE CODI
106.0,117.0,47.0,18.497578347578347,8.7,1.7,3.1,55.2%,1.3,2.6,50.2%,1.4,1.5,91.4%,0.9,2.4,3.3,0.9,0.4,0.8,0.1,0.3,1.8,1.6,9.4,008829,"PETERS, ALEC",EuroLeague,PETERS ALEC,PETERS, ALEC, 10.50,PETERS ALEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,WRIGHT MOSES,WRIGHT, MOSES, 10.50,WRIGHT MOSES
152.0,51.0,33.0,22.829738562091503,12.0,2.4,4.4,54.1%,1.5,3.2,46.6%,2.9,3.3,86.9%,1.1,3.0,4.2,0.5,0.7,1.2,0.2,0.4,1.8,2.6,12.6,011982,"OJELEYE, SEMI",EuroLeague,OJELEYE SEMI,OJELEYE, SEMI, 10.50,OJELEYE SEMI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIALLO HAMIDOU,DIALLO, HAMIDOU, 10.50,DIALLO HAMIDOU
,,,,,,,,,,,,,,,,,,,,,,,,,,,,CABOCLO BRUNO,CABOCLO, BRUNO, 10.40,CABOCLO BRUNO
115.0,63.0,51.0,25.00740740740741,11.9,2.3,4.5,52.1%,2.0,4.8,41.1%,1.3,1.3,92.9%,0.7,2.4,3.1,2.2,0.8,1.7,0.2,0.5,2.1,1.3,10.2,012720,"BROWN, STERLING",EuroLeague,BROWN STERLING,BROWN, STERLING, 10.40,BROWN STERLING
104.0,99.0,63.0,24.49090909090909,7.4,1.1,2.2,49.5%,1.5,3.9,38.5%,0.7,0.9,77.6%,1.0,2.6,3.6,3.1,1.0,1.1,0.1,0.2,2.3,1.4,9.3,010391,"WEILER-BABB, NICK",EuroLeague,WEILER BABB NICK,WEILER-BABB, NICK, 10.40,WEILER-BABB NICK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,WRIGHT MCKINLEY,WRIGHT, MCKINLEY, 10.40,WRIGHT MCKINLEY
174.0,91.0,76.0,26.75311355311356,15.5,3.8,7.7,49.5%,1.5,4.3,34.1%,3.4,4.1,82.8%,0.5,2.5,3.0,4.6,0.9,2.5,0.2,0.3,2.3,4.4,16.1,009863,"BALDWIN IV, WADE",EuroLeague,BALDWIN IV WADE,BALDWIN IV, WADE, 10.30,BALDWIN IV WADE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWORA JORDAN,NWORA, JORDAN, 10.30,NWORA JORDAN
117.0,60.0,7.0,16.176944444444445,8.2,3.4,4.8,70.5%,0.0,0.0,0%,1.4,2.2,65.4%,1.9,2.2,4.0,0.5,0.4,1.0,1.0,0.3,2.4,2.0,10.3,012788,"OTURU, DAN",EuroLeague,OTURU DAN,OTURU, DAN, 10.30,OTURU DAN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAKO NEAL,SAKO, NEAL, 10.30,SAKO NEAL
