feature,xgb_gain,perm_imp,perm_std,shap_imp,rank
opp_defensive_rating,532.5494384765625,0.006603622365565176,0.0023091270157936847,0.0,1
plusminus_last_3,403.4911193847656,0.0007364253770733242,0.0009092915293918204,0.0,2
minutes_rank,499.0874938964844,0.0001732003280087824,0.0003156351137314042,0.0,3
Home,473.0383605957031,-5.23057211016642e-05,0.00010271797806050571,0.0,4
team_won,458.0851135253906,-0.00017195036297792398,0.00011475780486431846,0.0,5
plusminus_last_5,482.4647521972656,-0.0009728338377821722,0.0006211646857366978,0.0,6
games_played,1007.4140625,-0.0010693344717939367,0.0016922060883313795,0.0,7
form_trend,645.3750610351562,-0.00136956773854493,0.004612320663250054,0.0,8
starter_rate_5,904.9926147460938,-0.0018651568452522581,0.002354616573718315,0.0,9
Points,592.1817016601562,-0.004042867768379033,0.0011762271325906329,0.0,10
fp_std_10,721.3604736328125,-0.004194500600724372,0.0023990585124820437,0.0,11
Valuation,1010.58447265625,-0.004998571010998631,0.0027454364912093284,0.0,12
fp_std_5,719.638671875,-0.005381194607984874,0.0031031010813311567,0.0,13
Assistances,528.2122802734375,-0.006873937015306808,0.0014182518476249814,0.0,14
minutes_last_5,1636.4019775390625,-0.007002862840607626,0.0016963767125657558,0.0,15
TotalRebounds,534.3037109375,-0.007552882141159234,0.0028620440045330204,0.0,16
Minutes,782.6109619140625,-0.007667414107209414,0.004640577993856784,0.0,17
starter_rate_3,1169.6243896484375,-0.008461478842440329,0.007185919935839585,0.0,18
minutes_last_3,922.4410400390625,-0.009785899010726951,0.0028433857039303857,0.0,19
minutes_last_10,1901.9586181640625,-0.011095970609075056,0.0034177394628799405,0.0,20
fp_std_3,599.1498413085938,-0.01114775368826768,0.002918019945724533,0.0,21
points_share,710.812255859375,-0.015272819070021981,0.003018618754573968,0.0,22
usage_trend,1582.65966796875,-0.01978204646337689,0.00345365944281736,0.0,23
fp_last_5,5460.810546875,-0.07465269189959534,0.010937274596106172,0.0,24
fp_last_3,1396.3741455078125,-0.09215366716782318,0.011466235331874205,0.0,25
hot_streak,1092.7059326171875,-0.13417621450282322,0.031411384330103875,0.0,26
fp_last_10,7593.34765625,-0.46354322788318036,0.042582659668679565,0.0,27
