Player,Team_first,price,fantasy_points_mean,games_played,value_score
"VEZENKOV, SASHA",OLY,16.0,23.73684210526316,38.0,1.4835526315789471
"SHORTS, TJ",PRS,14.3,22.75675675675676,37.0,1.5913815913815914
"MIROTIC, NIKOLA",MIL,15.5,21.966666666666665,30.0,1.4172043010752686
"MALEDON, THEO",ASV,13.3,20.57575757575757,33.0,1.5470494417862837
"BLATT, TAMIR",TEL,8.2,11.653846153846152,26.0,1.4212007504690432
"HAYES, KEVARRIUS",PRS,7.3,8.973684210526315,38.0,1.229271809661139
"JAITEH, MAM",MCO,7.2,8.205882352941176,34.0,1.1397058823529411
"OBST, ANDREAS",MUN,6.5,6.972222222222222,36.0,1.0726495726495726
"BUTKEVICIUS, ARNAS",ZAL,6.0,6.545454545454546,33.0,1.090909090909091
"DA SILVA, OSCAR",MUN,5.7,5.6,25.0,0.9824561403508772
