Player,Team,price,fp_last_3,predicted_fp,fantasy_points_mean,predicted_value
"MALEDON, THEO",ASV,13.3,14.666666666666666,21.449415,20.57575757575757,1.612737985481893
"SHORTS, TJ",PRS,14.3,18.0,21.264235,22.75675675675676,1.4870094085906769
"BRYANT, ELIJAH",IST,13.0,14.333333333333334,21.060375,14.447368421052632,1.620028862586388
"MILLER-MCINTYRE, CODI",RED,10.5,18.666666666666668,17.048855,9.971428571428572,1.623700459798177
"GRANT, JERIAN",PAN,10.1,15.0,16.260082,10.634146341463415,1.6099091331557474
"PETERS, ALEC",OLY,10.5,13.666666666666666,15.876488,9.0,1.5120464506603422
"KALINIC, NIKOLA",RED,9.9,19.0,15.455928,11.628571428571428,1.561204833213729
"BLOSSOMGAME, JARON",MCO,8.2,11.333333333333334,13.06778,9.125,1.593631651343369
"DIBARTOLOMEO, JOHN",TEL,6.0,11.666666666666666,9.101824,5.0588235294117645,1.5169706344604492
"KALAITZAKIS, PANAGIOTIS",PAN,4.1,2.0,6.504822,1.0,1.58654189691311
