NAME_KEY,REV_KEY,price
PRICE PLAYER_NAME,PLAYER_NAME PRICE,
SASHA VEZENKOV,VEZENKOV SASHA,16.0
VASILIJE MICIC,MICIC VASILIJE,15.7
KENDRICK NUNN,NUNN KENDRICK,15.6
NIKOLA MIROTIC,MIROTIC NIKOLA,15.5
TORNIKE SHENGELIA,SHENGELIA TORNIKE,15.5
MATHIAS LESSORT,LESSORT MATHIAS,15.4
CHIMA MONEKE,MONEKE CHIMA,15.3
MIKE JAMES,JAMES MIKE,15.2
ZACH LEDAY,LEDAY ZACH,15.2
WALTER TAVARES,TAVARES WALTER,15.0
FACUNDO CAMPAZZO,CAMPAZZO FACUNDO,15.0
CARLIK JONES,JONES CARLIK,14.9
TYRIQUE JONES,JONES TYRIQUE,14.5
TJ SHORTS,SHORTS TJ,14.3
JAYLEN HOARD,HOARD JAYLEN,14.3
SYLVAIN FRANCISCO,FRANCISCO SYLVAIN,14.1
CARSEN EDWARDS,EDWARDS CARSEN,14.1
JUANCHO HERNANGOMEZ,HERNANGOMEZ JUANCHO,14.0
LONNIE WALKER IV,WALKER IV LONNIE,14.0
MARIO HEZONJA,HEZONJA MARIO,13.9
SHAVON SHIELDS,SHIELDS SHAVON,13.8
SHANE LARKIN,LARKIN SHANE,13.6
KEVIN PUNTER,PUNTER KEVIN,13.5
JONATHAN MOTLEY,MOTLEY JONATHAN,13.5
THEO MALEDON,MALEDON THEO,13.3
CHUMA OKEKE,OKEKE CHUMA,13.3
DZANAN MUSA,MUSA DZANAN,13.2
WILL CLYBURN,CLYBURN WILL,13.0
ELIJAH BRYANT,BRYANT ELIJAH,13.0
EVAN FOURNIER,FOURNIER EVAN,13.0
DANIEL THEIS,THEIS DANIEL,13.0
BRANDON BOSTON,BOSTON BRANDON,12.9
EVANS KEENAN,KEENAN EVANS,12.8
VINCENT POIRIER,POIRIER VINCENT,12.8
DONTA HALL,HALL DONTA,12.8
WILLY HERNANGOMEZ,HERNANGOMEZ WILLY,12.7
RICHUAN HOLMES,HOLMES RICHUAN,12.7
KOSTAS SLOUKAS,SLOUKAS KOSTAS,12.6
ROKAS JOKUBAITIS,JOKUBAITIS ROKAS,12.6
JOEL BOLOMBOY,BOLOMBOY JOEL,12.5
DEVIN BOOKER,BOOKER DEVIN,12.5
NIKOLA MILUTINOV,MILUTINOV NIKOLA,12.4
NANDO DE COLO,DE COLO NANDO,12.4
OSHAE BRISSETT,BRISSETT OSHAE,12.4
SHAKE MILTON,MILTON SHAKE,12.4
FILIP PETRUSEV,PETRUSEV FILIP,12.3
ELIE OKOBO,OKOBO ELIE,12.2
JABARI PARKER,PARKER JABARI,12.1
MFIONDU KABENGELE,KABENGELE MFIONDU,12.1
CEDI OSMAN,OSMAN CEDI,12.1
WENYEN GABRIEL,GABRIEL WENYEN,12.0
JOSH NEBO,NEBO JOSH,12.0
JEAN MONTERO,MONTERO JEAN,12.0
DEVONTE GRAHAM,GRAHAM DEVONTE,12.0
JEFF DOWTIN JR.,DOWTIN JR. JEFF,12.0
TREY LYLES,LYLES TREY,12.0
CHRIS JONES,JONES CHRIS,11.8
DWAYNE BACON,BACON DWAYNE,11.7
MARKO GUDURIC,GUDURIC MARKO,11.5
JUSTIN ROBINSON,ROBINSON JUSTIN,11.5
ARMANDO BACOT,BACOT ARMANDO,11.5
MILES NORRIS,NORRIS MILES,11.4
T.J LEAF,LEAF T.J,11.4
NICOLAS LAPROVITTOLA,LAPROVITTOLA NICOLAS,11.3
VLATKO CANCAR,CANCAR VLATKO,11.2
JAN VESELY,VESELY JAN,11.1
DARIUS THOMPSON,THOMPSON DARIUS,11.0
NADIR HIFI,HIFI NADIR,11.0
COLE SWIDER,SWIDER COLE,10.9
ALPHA DIALLO,DIALLO ALPHA,10.8
ISAIA CORDINIER,CORDINIER ISAIA,10.8
KAI JONES,JONES KAI,10.8
GABRIEL DECK,DECK GABRIEL,10.7
TADAS SEDEKERSKIS,SEDEKERSKIS TADAS,10.7
LORENZO BROWN,BROWN LORENZO,10.6
MOUSTAPHA FALL,FALL MOUSTAPHA,10.6
MATTHEW COSTELLO,COSTELLO MATTHEW,10.6
CODI MILLER-MCINTYRE,MILLER-MCINTYRE CODI,10.5
ALEC PETERS,PETERS ALEC,10.5
MOSES WRIGHT,WRIGHT MOSES,10.5
SEMI OJELEYE,OJELEYE SEMI,10.5
HAMIDOU DIALLO,DIALLO HAMIDOU,10.5
BRUNO CABOCLO,CABOCLO BRUNO,10.4
STERLING BROWN,BROWN STERLING,10.4
NICK WEILER-BABB,WEILER-BABB NICK,10.4
MCKINLEY WRIGHT,WRIGHT MCKINLEY,10.4
WADE BALDWIN IV,BALDWIN IV WADE,10.3
JORDAN NWORA,NWORA JORDAN,10.3
DAN OTURU,OTURU DAN,10.3
